accomplish,"vt.完成,达到,实现"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
renovate,"vt.革新,刷新,修复"
recovery,"n.恢复,痊愈,防御"
regain,"v.收回,恢复,重到,重新夺得"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
attain,"vt.达到,获得v.达到"
achievement,"n.成就,功绩"
breakthrough,n.突破
historical,"adj.历史(上)的,有关历史的"
historic,"adj.历史上著名的,有历史性的"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
acquire,"vt.获得,学到"
acquisition,"n.获得,获得物"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
respectable,"adj.可敬的,有名望的,高尚的,值得尊敬的"
admirable,"adj.令人倾佩的,值的赞美的,绝妙的,极好的"
fee,"n.费(会费、学费等),酬金"
tuition,n.学费
afford,"vt.提供,给予,供应得起,"
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
continual,"adj.连续的,频繁的,持续不断的"
continuous,"adj.连续的,持续的"
suspend,"vt.吊,悬挂v.延缓"
suspense,"n.焦虑,悬念,悬而不决"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
cease,"v.停止,终了"
repel,"vt.击退,抵制,使厌恶,使不愉快"
prohibit,"vt.禁止,阻止"
avoid,"vt.避免,消除"
owing,"adj.(～ to) 由于,该付的,未付的,应归功于"
overall,"adj.全部的,全面的"
delegate,n.代表vt.委派...为代表
nominate,"vt.提名,推荐,任命,命名"
feast,"n.节日,盛宴,筵席,宴会,酒席vt.盛宴,款待,享乐,请客vi.参加宴会,享受"
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
inquest,n.审讯
sue,"vt.控告,向...请求,请愿vi.提出诉讼,提出请求"
clarify,"v.澄清,阐明"
military,"adj.军事的,军用的"
smuggle,"n.走私,偷带v.走私"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
custody,n.保官
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
given,"adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词"
review,"vt.回顾,复习n.回顾,复习,评论"
category,"n.种类,别,[逻]范畴"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
forbid,"vt.禁止,不许v.禁止"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
deny,"v.否认,拒绝"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
moreover,"adv.而且,此外"
diminish,"v.(使)减少,(使)变小"
decrease,"n.减少,减少之量v.减少"
dwindle,v.缩小
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
rating,"n.等级级别(尤指军阶),额定,责骂,申斥"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
percentage,"n.百分数,百分率,百分比"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
comparison,"n.比较,对照,比喻,比较关系"
comparable,"adj.可比较的,比得上的"
comparative,"adj.比较的,相当的"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
association,"n.协会,联合,结交,联想"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
distinction,"n.区别,差别,级别,特性,声望,显赫"
distinctive,"adj.与众不同的,有特色的"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
interview,"vt.接见,会见n.接见,会见"
discriminate,"v.歧视,区别,区别待遇"
distinguish,"v.区别,辨别"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
considerate,adj.考虑周到的
considering," vbl.考虑,顾及,认为 prep.鉴于,考虑到,顾及"
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
aware,"adj.知道的,明白的,意识到的"
conscious,
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
annoy,"vt.使苦恼,骚扰"
resent,"v.愤恨,怨恨"
irritate,"vt.激怒,使急躁v.刺激"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
revise,"vt.修订,校订,修正,修改"
manuscript,"n.手稿,原稿"
edit,"vt.编辑,校订,剪辑n.编辑工作"
edition,"n.版本,版"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
apply,"vt.申请,应用vi.申请,适用"
applicable,"adj.可适用的,可应用的"
appliance,"n.用具,器具"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
generous,"adj.慷慨的,大方的,有雅量的"
plentiful,"adj.许多的,大量的,丰富的,丰饶的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
abound,"vi.多,大量存在,富于,充满"
sufficient,"adj.充分的,足够的"
adequate,
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
conducive,n.有益于
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
criterion,"n.(批评判断的)标准,准据,规范"
standardize,"vt.使符合标准,使标准化"
standardise,
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
feasible,"adj.可行的,切实可行的"
emphatic,"adj.语势强的,用力的,显著的,断然的"
emphasis,"n.强调,重点"
emphasize,"vt.强调,着重v.强调"
emphasise,
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
fluent,"adj.流利的,流畅的"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
aftereffect,"n.余波,后果"
emotion,"n.情绪,情感,感情"
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
aftermath,"n.结果,后果"
outcome,"n.结果,成果"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
consequently,"adv.从而,因此"
muscle,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
sprain,v.扭伤
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
absence,"n.不在,缺席,缺乏,没有"
presence,"n.出席,到场,存在"
presentation,"n.介绍,陈述,赠送,表达"
parliament,"n.国会,议会"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
holy,"adj.神圣的,圣洁的n.神圣的东西"
sacred,"adj.神的,宗教的,庄严的,神圣的"
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
institution,"n.公共机构,协会,制度"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
misfortune,"n.不幸,灾祸"
relevant,"adj.有关的,相应的"
simultaneous,"adj.同时的,同时发生的"
impractical,"adj.不切实际的,昧于实际的"
obvious,"adj.明显的,显而易见的"
spontaneous,"adj.自发的,自然产生的"
substance,"n.物质,实质,主旨,物质,物"
substantial,"adj.坚固的,实质的,真实的,充实的"
synthetic,"adj.合成的,人造的,综合的"
synthesis,"n.综合,合成"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
raw,"n.生肉,擦伤处,身上的痛处adj.未加工的,生疏的,处于自然状态的,,不掺水的,擦掉皮的,阴冷的,刺痛的vt.擦伤"
defect,"n.过失,缺点"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
condemn,"vt.判刑,处刑,声讨,谴责"
reproach,v.责备
rebuke,"n.指责,谴责,非难vt.斥责,指责,非难,成为对...的指摘"
imaginary,"adj.假想的,想象的,虚构的"
imaginative,"adj.想象的,虚构的"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
create,"vt.创造,创作,引起,造成"
creative,adj.创造性的
theoretical, 理论的
accordingly,"adv.因此,从而"
accordance,"n.一致,和谐"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sensible,"adj.有感觉的,明智的,有判断力的"
sensitive,"adj.敏感的,灵敏的,感光的"
efficient,"adj.(直接)生效的,有效率的,能干的"
allergy,"n.[医]敏感症,<口>反感"
infect,"vt.[医] 传染,感染"
disinfect,vt.消毒
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
contagious,"adj.传染性的,会感染的"
widespread,"adj.分布广泛的,普遍的"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
absolute,"adj.完全的,绝对的"
roughly,"adv.概略地,粗糙地"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
accurate,"adj.正确的,精确的"
omit,"vt.省略,疏忽,遗漏"
incidentally,"adv.附带地,顺便提及"
eventual,"adj.<古>可能的,最后的,结局的,万一的,终于的,"
pursue,"vt.追赶,追踪,追击,继续,从事"
pursuit,n.追击
theft,"n.偷,行窃,偷窃的事例,偷窃行为"
burglar,n.夜贼
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
indulge,v.纵容
action,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉"
decisive,adj.决定性的
determination,"n.决心,果断"
defensive,"adj.防御用的,自卫的n.防御"
defendant,"n.被告adj.辩护的,为自己辩护的"
demanding,"adj.过分要求的,苛求的"
convince,"vt.使确信,使信服"
involve,"vt.包括,笼罩,潜心于,使陷于"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
concerning, prep.关于
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
rely,"v.依赖,依靠,信赖,信任,依赖于"
reliable,"adj.可靠的,可信赖的"
attendance,"n.出席,出席的人数,伺候,照料"
attendant,n.服务员
assist,"v.援助,帮助"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
protection,n.保护
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
resident,"n.居民adj.居住的,常驻的"
reside,vi.居住
dwell,"vi.居住,踌躇"
monopoly,"n.垄断,垄断者,专利权,专利事业"
monotonous,"adj.单调的,无变化的"
route,"n.路线,路程,通道v.发送"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索"
coarse,"adj.粗糙的,粗鄙的"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
summarize,"v.概述,总结,摘要而言"
sum,"n.总数,和,金额,算术题"
overtime,"n.超时,加班,延长时间adj.超时的,加班的adv.加班地vt.使超时"
discontent,n.不满
disregard,"v.不理漠视n.漠视,忽视"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
abnormal,"adj.反常的,变态的"
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
basics,
element,"n.要素,元素,成分,元件,自然环境"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
principle,"n.法则,原则,原理"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initiative,n.主动
initiate,"vt.开始,发动,传授v.开始,发起"
necessarily,adv.必要地
necessity,"n.必要性,需要,(常 pl.) 必需品"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
contradict,"vt.同...矛盾,同...抵触"
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
conflict,"n.斗争,冲突vi.抵触,冲突"
confront,"vt.使面临,对抗"
compete,"vi.比赛,竞争"
competitive,adj.竞争的
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
capitalize,"vt.以大写字母写,变成资本"
conference,"n.会议,讨论会,协商会"
participate,"vi.参与,参加,分享,分担"
spectator,n.观众(指比赛或表演)
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
onlooker,n.旁观者
audience,"n.听众,观众,接见,拜见"
observe,"vt.观察,观测,遵守,评述,说"
performance,"n.履行,执行,成绩,性能,表演,演奏"
skim,v.撇去
scan,"v.细看,审视,浏览,扫描n.扫描"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
glimpse,"n.一瞥,一看v.瞥见"
glare,"n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
glow,"vi.发光,发热"
glimmer,v.闪烁n.闪光
prominent,"adj.卓越的,显著的,突出的"
outstanding,"adj.突出的,显著的"
eminent,"adj.显赫的,杰出的,有名的,优良的"
excel,"v.优秀,胜过他人"
proficient,n.精通
conspicuous,adj.显著的
noticeable,"adj.显而易见的,值得注意的"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
detail,"n.细节,详情vt.详述,细说"
comment,"n.注释,评论,意见vi.注释,评论"
react,"vi.起反应,起作用,反抗,起反作用"
reaction,"n.反应,反作用,反动(力)"
impress,"vt.印,盖印,留下印象"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
gracious,"adj.亲切的,高尚的"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
comprehend,"vt.领会,理解,包括(包含),由...组成"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
extensive,"adj.广大的,广阔的,广泛的"
exclusion,"n.排除,除外,被排除在外的事物"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
inclusive,
eradicate,v.根除
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensify,vt.加强vi.强化
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
concentrate,"v.集中,浓缩"
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
gravity,"n.地心引力,重力"
solemn,"adj.庄严的,隆重的,严肃的"
amount,"n.数量vi.(to) 总计,等于"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
exceed,"vt.超越,胜过vi.超过其他"
exceedingly,"adv.非常地,极度地"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
underlie,"vt.位于...之下,成为...的基础"
utilize,vt.利用
utility,"n.效用,有用"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
hypothesis,n.假设
phenomenon,n.现象
marvelous,"adj.引起惊异的,不可思议的,非凡的"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
toast,"n.烤面包(片),吐司面包,干杯vt.敬酒,烤(面包等),使暖和vi.烤暖,烤火,烘"
memorial,"n.纪念物,纪念馆,纪念议事,请愿书adj.记念的,记忆的"
memorise,v.<主英> =memorize
memorize,"v.[亦作memorise] 记住,记忆"
wisdom,"n.智慧,明智的行为,学识,名言,贤人,至理名言"
wit,"n.智力,才智,智慧"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
organize,"vt.组织,使有机化,给予生机vi.组织起来"
organise,"vt.组织,创办"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
controversy,"n.论争,辩论,论战"
debate,"v.争论,辩论n.争论,辩论"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
client,"n.[计]顾客,客户,委托人,客户机程序"
tenant,"n.承租人,房客,租客v.出租"
proprietor,"n.所有者,经营者"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
slice,"n.薄片,切片,一份,部分,片段v.切(片)"
upbringing,"n.抚育,教养"
cultivate,"vt.培养,耕作"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
civilian,"n.平民,公务员,文官adj.民间的,民用的"
civilize,"vt.使开化,使文明,教化"
civilise,"v.(=civilize)文明化,教化"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
adopt,"vt.采用,收养"
adapt,"vt.使适应,改编"
adjust,"vt.调整,调节,校准,使适合"
regulate,"vt.管制,控制,调节,校准"
regulation,"n.规则,规章,调节,校准"
equip,"vt.装备,配备,训练,准备行装"
modify,"vt.更改,修改v.修改"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
cater,"vi.备办食物,满足(需要),投合"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
signal,"n.信号adj.信号的v.发信号,用信号通知"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
readily,"adv.乐意地,欣然,容易地"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
beforehand,adv.预先
advanced,"adj.高级的,年老的,先进的"
haste,"n.匆忙,急忙"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
urgent,"adj.急迫的,紧急的"
prior,"adj.优先的,在前的n.预先adv.在"
priority,"n.先,前,优先,优先权"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
trickle,v.滴流
drip,n.水滴v.(使)滴下
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
overturn,"n.倾覆,破灭,革命vt.推翻,颠倒vi.翻倒n.翻转,毁灭"
fertile,"adj.肥沃的,富饶的,能繁殖的"
component,"n.成分adj.组成的,构成的"
product,"n.产品,产物,乘积"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
productive,"adj.生产性的,生产的,能产的,多产的"
reflect,"v.反射,反映,表现,反省,细想"
inner,"adj.内部的,里面的,内心的n.内部"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
minor,"n.未成年人,副修科目adj.较小的,次要的,二流的,未成年的vi.辅修n.[乐]小调,小音阶"
minority,"n.少数,少数民族"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
scarcely,"adv.几乎不,简直没有"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
striking,"adj.打击的,显著的,惊人的,罢工的"
minimum,"adj.最小的,最低的n.最小值,最小化"
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
sparse,"adj.稀少的,稀疏的"
sensation,"n.感觉,感情,感动,耸人听闻的"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
unique,"adj.唯一的,独特的"
incident,"n.事件,事变adj.附带的,易于发生的"
hence,"adv.因此,从此"
generalise,v.<主英>=generalize
generalize,"vt.归纳,概括,推广,普及"
circular,"adj.圆形的,循环的n.函件 通知"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
circuit,"n.电路,一圈,周游,巡回"
define,"vt.定义,详细说明"
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入"
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫vt.解雇,装入袋,洗劫,就寝"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
steak,"n.(供煎,烤等的)肉,鱼,肉片,鱼片,肉排,牛排"
portion,"n.一部分,一分"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
ancient,"adj.远古的,旧的"
ancestor,"n.祖先,祖宗"
marital,adj.婚姻的
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
spouse,n.配偶(指夫或妻)
mere,"adj.仅仅的,起码的,纯粹的"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
vibrate,"v.(使)振动,(使)摇摆"
vibrant,adj.振动
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
radical,"adj.根本的,基本的,激进的n.激进分子"
bitterly,"adv.苦苦地,悲痛的,厉害的"
absurd,"adj.荒谬的,可笑的"
ridiculous,"adj.荒谬的,可笑的"
likewise,"adv.同样地,照样地,又,也n.同样地"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
recreation,"n.消遣,娱乐"
leisure,"n.空闲,闲暇,悠闲,安逸"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
reclaim,"vt.要求归还,收回,开垦"
exclaim,"v.呼喊,惊叫,大声叫"
proclaim,"vt.宣布,声明,显示,显露"
