progress,"n.前进,进步,发展vi.前进,进步,进行"
normalize,v.规格化
catalyze,"vt.催化,刺激,促进"
considerate,adj.考虑周到的
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
adequate,
obstinate,"adj.倔强的,顽固的"
stubborn,"adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
reliable,"adj.可靠的,可信赖的"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
stable,adj.稳定的
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
credible,"adj.可信的,可靠的"
plausible,adj.似是而非的
respective,"adj.分别的,各自的"
adaptive,adj.适应的
decisive,adj.决定性的
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
alter,v.改变
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
ambiguous,"adj.暧昧的,不明确的"
cautious,"adj.谨慎的,小心的"
viscous,"adj.粘性的,粘滞的,胶粘的"
numerous,"adj.众多的,许多的,无数的"
gorgeous,"adj.华丽的,灿烂的"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
stuffy,adj.乏味的
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
ferrous,"adj.铁的,含铁的,[化]亚铁的"
additional,"adj.另外的,附加的,额外的"
internal,"adj.内在的,国内的"
rational,"adj.理性的,合理的,推理的n.[数]有理数"
dental,adj.牙齿的
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
reason,"n.理由,原因,动机,理智,前提vt.说服,推论,辩论vi.推论,劝说,思考"
approve,"vi.赞成,满意vt.批准,通过v.批准"
betrayal,"n.出卖,辜负,暴露"
traitor,"n.叛逆者,叛国者"
treason,"n.叛逆,通敌,背信,叛国罪"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
fruitful,"adj.果实结得多的,多产的,富有成效的"
handful,"n.一把,少数"
hopefully,"adv.有希望地,有前途地"
peaceful,"adj.和平的,平静的,安宁的,爱好和平的"
tranquil,adj.安静的
pacific,
plentiful,"adj.许多的,大量的,丰富的,丰饶的"
skillful,"adj.灵巧的,熟练的,制作精巧的"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
marvelous,"adj.引起惊异的,不可思议的,非凡的"
outstanding,"adj.突出的,显著的"
excellent,"adj.卓越的,极好的"
exceptional,"adj.例外的,异常的"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物"
tremendous,"adj.极大的,巨大的"
exceedingly,"adv.非常地,极度地"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
significant,"adj.有意义的,重大的,重要的"
dome,n.圆屋顶
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
dominate,"v.支配,占优势"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
predominate,"vt.掌握,控制,支配vi.统治,成为主流,支配,占优势"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
brilliant,"adj.灿烂的,闪耀的,有才气的"
participant,"n.参与者,共享者adj.参与的"
immigrate,vt.使移居入境vi.移来
emigrate,vi.永久(使)移居vt.(使)移民
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
merchant,"n.商人,批发商,贸易商,店主adj.商业的,商人的"
resultant,"adj.作为结果而发生的,合成的"
astonish,vt.使惊讶
cherish,"vt.珍爱,怀抱(希望等)"
treasure,"n.财宝,财富,珍品,财产vt.珍爱,珍惜,储藏,珍藏"
diminish,"v.(使)减少,(使)变小"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
apply,"vt.申请,应用vi.申请,适用"
applicable,"adj.可适用的,可应用的"
applicant,"n.申请者,请求者"
appliance,"n.用具,器具"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
appoint,"vt.约定,指定(时间,地点),任命,委任"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
resign,"n.辞去(职务)v.辞去,辞职"
designate,"vt.指明,指出,任命,指派v.指定,指派"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
enchant,"vt.施魔法,使迷惑"
end,"n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止"
ass,"n.驴,笨人,臀部"
spectrum,"n.光,光谱,型谱 频谱"
stadium,n.露天大型运动场
nest,"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具vi.筑巢,找鸟巢vt.造巢,使套入"
amuse,"vt.使发笑,使愉快"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
forum,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
slum,n.贫民窟vi.访问贫民区
slumber,n.睡眠v.睡眠
refine,"vt.精炼,精制,使文雅高尚"
nursery,n.托儿所
surf,"n.海浪,拍岸浪vi.作冲浪运动vt.在激浪上驾(船),在...冲浪"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
surgery,"n.外科,外科学,手术室,诊疗室"
plastic,"n.塑胶,可塑体,塑料制品,整形adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的"
skull,"n.头脑,头骨"
skeleton,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
beard,n.胡须
lip,"n.嘴唇,唇缘"
tulip,"n.[植]郁金香,郁金香花,郁金香球茎"
lid,"n.盖子,<美口>限制,眼睑vt.给...盖盖子"
tooth,n.牙齿
tongue,"n.舌头,舌状物,语言,说话方式,口语vt.舔,闲谈,斥责vi.吹管乐器"
chin,"n.下巴,下颚"
skin,"n.皮,皮肤,兽皮,皮毛,外皮,外壳v.长皮"
chapter,n.(书籍)章
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
rifle,"n.来复枪,步枪,来复线,膛线vt.用步枪射击,抢夺vi.掠夺"
pistol,n.手枪
piston,"n.[机]活塞,瓣"
cannon,"n.大炮,加农炮v.炮轰"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
elbow,n.肘
wrist,"n.手腕,腕关节"
lung,"n.肺,呼吸器,肺脏"
pneumonia,n.[医] 肺炎
liver,"n.居住者,生活优裕的人,肝脏"
lever,"n.杆,杠杆,控制杆v.抬起"
stomach,"n.胃,胃口,胃部v.容忍"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
spine,"n.脊骨,书脊,地面隆起地带,中心,剌"
pineapple,"n.凤梨,菠萝"
waist,"n.腰部,腰,衣服的上身部分,背心"
hip,"n.臀,蔷薇果,忧郁adj.熟悉内情的vt.使忧郁,给(屋顶)造屋脊int.喝彩声"
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
thigh,"n.大腿,股"
kneel,vi.跪下
ankle,n.[解]踝
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表"
heel,"n.脚后跟,踵,跟部"
wheel,"n.轮,车轮,轮子"
heading,n.标题
headline,n.大字标题
ahead,"adj.adv.在前,向前,提前,在前面"
forehead,"n.前额,(任何事物的)前部"
beforehand,adv.预先
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
sarcastic,adj.讽刺的
castle,n.城堡
foresee,"vt.预见,预知"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
headquarters,"n.司令部,指挥部,总部"
headache,"n.头痛,令人头痛之事"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
caption,"n.标题,说明,字幕vt.加上标题,加上说明"
capable,"adj.有能力的,能干的,有可能的,可以...的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
cape,"n.海角,岬"
landscape,"n.风景,山水画,地形,前景v.美化"
captain,"n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
hamper,"v.妨碍,牵制"
hinder,"adj.后面的v.阻碍,打扰"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
restructure,"vt.更改结构,重建构造,调整,改组"
instruct,"vt.教,教导,命令,指示,通知"
twilight,"n.黎明,微光,略知adj.微明的,黄昏的,黎明的,模糊的"
instrument,"n.工具,手段,器械,器具,手段"
destruction,"n.破坏,毁灭"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
massive,"adj.厚重的,大块的,魁伟的,结实的"
eyesight,"n.视力,目力"
sightseeing,n.观光
insight,"n.洞察力,见识"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
superficial,"adj.表面的,肤浅的,浅薄的"
artificial,"adj.人造的,假的,非原产地的"
intelligence,"n.智力,聪明,智能"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
official,"n.官员,公务员adj.职务上的,公务的,官方的,正式的"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
profitable,adj.有利可图的
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
envision,"vt.想象,预想"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
imagine,"vt.想象,设想"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
subdivide,"v.再分,细分"
digital,"adj.数字的,数位的,手指的n.数字,数字式"
provision,"n.供应,(一批)供应品,预备,防备,规定"
invisible,"adj.看不见的,无形的"
advisable,"adj.可取的,明智的"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
revise,"vt.修订,校订,修正,修改"
supervise,"v.监督,管理,指导"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
rectangle,"n.长方形,矩形"
triangular,"adj.三角形的,三人间的"
directory,"n.姓名地址录,目录"
conduct,"n.行为,操行v.引导,管理,为人,传导"
semiconductor,n.[物] 半导体
insulate,"vt.使绝缘,隔离"
peninsula,n.半岛
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
introduce,"vt.介绍,传入,引进,提出"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
productive,"adj.生产性的,生产的,能产的,多产的"
induce,"vt.劝诱,促使,导致,引起,感应"
deduce,"vt.推论,演绎出"
deduct,"vt.扣除,演绎"
minister,"n.部长,大臣"
administer,"v.管理,给予,执行"
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
visa,n.签证vt.签准 维萨信用卡
passport,n.护照
via," prep.经,通过,经由"
deviate,"vi.背离,偏离v.偏离"
stray,"v.迷路,偏离,漂泊,漂泊游荡adj.迷路的,离群的,偶遇的"
trivial,"adj.琐细的,价值不高的,微不足道的"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
inevitable,"adj.不可避免的,必然的"
spade,"n.铲,铁锹v.铲"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
loom,"n.织布机,织机v.隐现,迫近"
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
gloom,"n.阴暗,阴沉v.(使)变阴暗,优伤地说,繁荣"
sullen,"adj.愠怒的,沉沉不乐的,(天气等)阴沉的"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
victim,"n.受害人,牺牲者,牺牲品"
casual,"adj.偶然的,不经意的,临时的"
refuge,"n.庇护,避难,避难所"
bore,"n.令人讨厌的人,怒潮,枪膛,孔v.使烦扰,钻孔 钻孔"
pore,"n.毛孔,小孔,气孔vi.熟读,凝视,细想,沉思vt.因凝视过度使...疲劳"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
nightmare,"n.梦魇,恶梦,可怕的事物"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
refugee,"n.难民,流亡者"
peep,"n.窥看,隐约看见vi.窥视,偷看"
peel,"v.剥,削,剥落"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
speech,"n.演说,讲话 语音"
seemingly,adv.表面上地
seek,"v.寻找,探索,寻求"
seed,"n.种子,萌芽,原由,根据,子孙,精液vt.播种,结实,成熟,去...籽vi.结实,播种"
reed,"n.芦苇,芦笛,簧片,管乐器"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入"
feedback,"n.[无]回授,反馈,反应"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agreeable,"adj.使人愉快的,惬意的,适合的"
creep,"vi.爬,蹑手蹑脚,蔓延"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走"
freeze,"v.(使)结冰,(使)冷冻,冻结"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
sneeze,n.喷嚏vi.打喷嚏
steel,"n.钢,钢铁"
steer,"v.驾驶,掌舵"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
invitation,"n.邀请,招待"
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
survive,"v.幸免于,幸存,生还"
vigor,"n.精力,活力"
box,"n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击"
breakdown,"n.崩溃,衰弱,细目分类"
bridge,"n.桥,船桥,鼻梁,桥牌vt.架桥,渡过;网桥"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
bridle,"n.马勒,缰绳v.上笼头,昂首(表傲慢.愤怒等),抑制(欲望)"
bright,"adj.明亮的,辉煌的,欢快的,聪明的,伶俐的"
vibrate,"v.(使)振动,(使)摇摆"
brace,"n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
algebra,n.代数学
zebra,n.斑马
brand,"n.商标,牌子,烙印vt.打火印,污辱"
brandy,"n.白兰地酒,(夹心)糖果"
brake,"n.闸,刹车v.刹车"
brave,adj.勇敢的
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
brass,"n.黄铜,黄铜制品,厚脸皮"
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
copper,"n.铜,警察"
librarian,"n.图书馆员,图书管理员"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
handbook,"n.手册,便览"
handkerchief,n.手帕
napkin,"n.餐巾,餐巾纸,<英>尿布,<美>月经带"
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的"
handwriting,"n.笔迹,书写体,书法,笔势"
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
shorthand,n.速记
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
manufacture,"vt.制造,加工n.制造,制造业,产品"
romance,"n.冒险故事,浪漫史,传奇文学,风流韵事,虚构vi.写传奇,渲染,虚构"
spokesman,"n.发言人,代表者"
statesman,n.政治家
politics,"n.政治,政治学,政纲,政见"
tyranny,"n.暴政,苛政,专治"
manner,"n.礼貌,风格,方式,样式,习惯"
humanity,"n.人性,人类,博爱,仁慈"
permanent,"adj.永久的,持久的"
everlasting,"adj.永恒的,持久的,无止境的,耐用的"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
outermost,"adj.最外面的,最远的"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
superiority,"n.优越,高傲"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
instantaneous,"adj.瞬间的,即刻的,即时的"
simultaneous,"adj.同时的,同时发生的"
error,"n.错误,过失,误差"
spontaneous,"adj.自发的,自然产生的"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
sponge,"n.海绵,海绵体,海绵状物,(外科用的)棉球,纱布v.用海绵等冼涤、揩拭、擦拭或清除,用海绵吸收(液体),(俗)依赖某人生活,诈取某人钱财,海绵般吸收"
withstand,"vt.抵挡,经受住"
notwithstanding," prep.虽然,尽管adv.尽管,还是 conj.虽然,尽管"
