abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
handy,"a. 便利的, 敏捷的, 容易取得的
[化] 便于使用的; 易操作的"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
industrious,"a. 勤勉的, 刻苦的"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
knowledge,[网络] 知识；英语知识；识记
liberty,"n. 自由, 特权, 许可, 冒失
[法] 自由, 自由权, 自由区域"
majesty,[网络] 权威；壮丽；威权
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
monument,"n. 纪念碑, 纪念物, 石碑"
nickname,n. 昵称
onion,"n. 洋葱
vt. 因洋葱使掉泪"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
pit,"n. 深洞；深坑；矿井；麻子
v. 使…表面有斑点；在…上打洞；去掉…的果核
[网络] 凹坑；匹兹堡(Pittsburgh)；陷阱"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
proof,suff. 表示“耐
rag,[=radium-G]镭-G
release,"vt. 释放；发射；让与；允许发表
n. 释放；发布；让与"
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
[计] 系统实用程序和维护"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
throughout,[网络] 生产量；有效产出；透背
transport,[网络] 运输
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
ahead, 一捆；一束；一头；一棵
attraction,"n. 吸引, 吸引人的事物, 吸引力
[医] 吸引"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
[法] 犯, 做, 把...交托给"
congress,"n. 国会, 会议, 讨论会
[医] 会议, 会合"
correction,"n. 订正, 改正, 改正的地方
[化] 校正"
damp,"氨苄西林,氨苄青霉素"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
disappoint,vt. 使失望
drown,"vi. 淹死
vt. 把...淹死, 淹没"
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
evident,"a. 显然的, 明显的"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
genius,"n. 天才, 天赋, 精神, 神魔
[医] 特征"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
introduce,"vt. 介绍, 引入, 采用, 输入
[法] 引进, 输入, 介绍"
labor,[地名] 拉博河 ( 菲 )
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
majority,"n. 多数, 大半
[计] 多数逻辑"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
[法] 权宜处置权, 决定权, 宽恕"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
operate,"v. 操作, 运转, 动手术, 活动"
painful,"a. 痛苦的, 困难的, 令人烦恼的
[医] 疼痛的"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
[计] 孔距"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
property,"n. 财产, 所有权, 性质, 属性
[计] 属性"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行
n. (Rage)人名；(丹)拉厄"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
restless,"a. 不安静的, 慌张的, 休息不充分的
[医] 不安静的, 不宁的"
rug,"n. 小块地毯, 揭露某人"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
[计] 声音"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
[计] 存放处; 存储"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
[经] 传唤, 传讯"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
[计] 俘获; 陷井"
vaccinate,v. 预防接种
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
accentuate,"vt. 以重音念, 强调, 重读"
aim,[计] AOL即时信息传送
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
bless,"vt. 祝福, 祈佑, 使神圣化"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
[计] 阶; 指数"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
connect,"v. 连接, 联合, 联系"
correspond,"vi. 符合, 通信, 相当
[法] 符合, 一致, 相当"
darken,"vt. 弄暗, 使模糊
vi. 暗下来, 颜色变深"
deny,"v. 否认, 拒绝"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
excellence,"n. 优秀, 卓越, 优点"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
fist, [电影]拳头大风暴
frighten,"vt. 使惊吓
vi. 惊恐"
ghost,[网络] 及高盘
hardship,n. 困苦；苦难；艰难险阻
huge,"a. 极大的, 巨大的, 无限的"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
invent,"vt. 发明, 创作, 虚构
[机] 发明"
lighten,"vt. 照亮, 点亮, 减轻, 使轻松, 闪出
vi. 发亮, 打闪, 变轻"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
opportunity,"n. 机会, 时机"
palace,"n. 宫, 宫殿, 华丽大厦"
peasant,"n. 农夫, 乡下人"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
resume,[网络] 恢复
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
sharp,[网络] 夏普；日本夏普；真切得
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
[化] 技能"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
superintendent,"n. 监督人, 主管人, 主日学校校长
[经] 监督人, 主管人(部门)"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
treaty,"n. 条约, 谈判
[经] 协议, 协定, 协商"
vanish,"vi. 消失, 不见, 成为零"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
[法] 战事, 作战, 交战"
witty,"a. 富于机智的, 诙谐的"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
[计] 报警信号"
author,"n. 作家, 作家的著作, 创始人
[法] 作者, 著作人, 本人"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
[法] 慈善的, 慷慨的, 宽恕的"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
costume,"n. 装束, 服装"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
disclose,"vt. 揭露, 透露
[法] 揭发, 揭露, 公开"
dumb,"a. 哑的, 不说话的, 无声音的
[医] 哑的"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
exception,"n. 例外, 除外, 异议
[计] 例外; 异常"
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
[计] 无聊邮件, 无益邮件"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
hardware, [医]硬件，硬设备
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
investigate,"v. 调查, 审查"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
mammal,"n. 哺乳动物
[化] 哺乳动物"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
[计] 标准, 普通"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
[计] 取数"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
preparation,"n. 准备, 预备, 预习
[化] 制剂"
proposal,"n. 提议, 计划, 求婚
[经] 提案, 申请, 投标"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
remarkable,"a. 不平常的, 值得注意的, 显著的"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
[计] 擦除"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
slant,"n. 倾斜, 斜面, 观点, 偏见, 歪曲
a. 倾斜的
v. (使)倾斜"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
[计] 接头"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
vapor,"n. 汽, 蒸气
vi. 蒸发
vt. 使蒸发"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
woe,"n. 悲哀, 悲痛, 苦痛"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
ambition,"n. 野心, 志向"
authority,"n. 权力, 当权者, 当局, 权威, 专家
[经] 代理权, 授权, 权威"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bureau,"n. 局, 办公处
[经] 局, 司, 处"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
comparison,"n. 比较, 对照, 比喻
[经] 比较, 对比"
conscience,"n. 良心
[法] 良心, 道德感, 正义感"
cottage,"n. 小屋, 茅舍"
dawn,"n. 破晓, 黎明
vi. 破晓"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
[化] 推下"
discourage,"vt. 使气馁, 阻碍"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
[计] 交换; 电话局"
extraordinary,[网络] 寻常領域；超凡；非常规
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
inform,"身体好,竞技状态好"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
manage,[网络] 管理；成年人
method,"n. 方法, 办法, 条理, 秩序
[医] [方]法"
motive,"suf. 表示“动的”,“运动的”：locomotive"
nostril,"n. 鼻孔
[医] 鼻孔"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
pang,"n. 剧痛, 悲痛, 苦闷
vt. 使剧痛, 折磨"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
shed,abbr. she had 她已经; she would 她可以
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
[法] 奴隶制度, 奴役, 苦役"
spacious,"a. 广大的, 宽广的"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
straw,"n. 稻草, 麦管, 吸管, 一文不值的东西, 草帽
a. 稻草的, 稻草色的, 琐碎的, 无价值的"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
tremendous,"a. 巨大的, 非常的, 可怕的"
variety,"n. 多样, 种类, 变种, 杂耍
[化] 变种"
waterfall,瀑布
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
[计] 蠕虫病毒"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
amuse,"vt. 消遣, 娱乐, 使发笑"
avoid,"vt. 避免, 防止, 撤消
[法] 避免, 回避, 躲开"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
burial,"n. 埋葬, 葬礼
[法] 埋葬, 葬礼"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
compel,"vt. 强迫, 迫使"
consent,"n. 同意, 许可
vi. 同意, 赞同"
counterpart,"[计] 副本, 配对物, 对应物"
deafen,"vt. 使聋
vi. 变聋"
derive,"vt. 得自
vi. 起源"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
[计] 显示器; 显示"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
energetic,"a. 精力充沛的, 积极的"
extent,"n. 范围, 程度, 区域
[计] 范围"
fairy,"n. 仙女, 精灵
a. 仙女的"
flatter,"vt. 奉承, 阿谀, 使高兴
[机] 平面锤"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
inhabit,"vt. 居住于, 占据, 栖息"
involve,"vt. 包括, 使陷于, 潜心于, 包围
[医] 累及, 牵涉, 包含"
lamb,[网络] 爱天使音乐宝贝；贝黎诗；快到洞里来
