foolishly,"adv.愚笨地,无聊地"
impulsive,adj.冲动的
ingredient,"n.成分,因素"
template,n.(=templet) 模板
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
option,"n.选项,选择权,[经]买卖的特权"
quantity,"n.量,数量"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
anonymity,"n.匿名,作者不明(或不详)"
embarrassment,"n.困窘,阻碍"
shin,"n.[解]胫骨v.攀,爬"
bacon,"n.咸肉,熏肉"
come in handy,
properly,"adv.适当地,完全地"
rasher,n.咸肉(或火腿)的薄片
chiller,"n.使寒冷之人或事物,冷却器"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
eliminate,"vt.排除,消除v.除去"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
leftover,"n.剩余物,残留物,剩菜adj.剩余的"
wastage,"n.消耗量,损耗,废物"
frugal,"adj.节俭的,朴素的"
deli,
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火"
carcass,n.(屠宰后)畜体
butcher,"n.屠夫,屠户vt.屠宰,屠杀"
knuckle,"n.指节,关节"
stew,"v.炖,焖,受闷热n.炖肉(或菜),闷热,拥挤,鱼塘,人工养蚝场"
eat out,
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东"
course,"n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动 学业"
penny,"n.便士,<美> 分"
set lunch,
decade,"n.十年,十"
prosperity,n.繁荣
marriage,"n.结婚,婚姻,婚姻生活,密切结合,合并"
immediately,"adv.立即,马上,直接地"
line up,
bureau,"n.办公桌,衣柜 <美>局,办公署"
common sense,
depression,"n.沮丧,消沉,低气压,低压"
combination,"n.结合,联合,合并,化合,化合物"
efficient,"adj.(直接)生效的,有效率的,能干的"
stylish,"adj.时髦的,漂亮的,流行的"
belief,"n.信任,信心,信仰"
restraint,"n.抑制,制止,克制"
confidence,n.信心
positively,
stimulus,"n.刺激物,促进因素,刺激,刺激"
popularize,v.普及
trend,"n.倾向,趋势vi.伸向,倾向,通向"
architect,n.建筑师
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
emigrate,vi.永久(使)移居vt.(使)移民
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
school,"n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育"
architecture,"n.建筑,建筑学 体系机构"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
signature phrase,
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
derive,vt.得自vi.起源
employ,"vt.雇用,用,使用v.使用n.雇用"
laminated,"adj.薄板[薄片]状的,层积的,层压的"
symbolize,"vt.象征,用符号表现vi.作为...的象征,采用象征,使用符号"
sophisticated,"adj.诡辩的,久经世故的"
presentation,"n.介绍,陈述,赠送,表达"
decoration,"n.装饰,装饰品"
elegance,"n.高雅,典雅,优雅,雅致"
abundance,"n.丰富,充裕,丰富充裕"
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
airy,"adj.空气的,空中的,通风的,轻快的,空想的"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
architectural,"adj.建筑上的,建筑学的"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
modest,"adj.谦虚的,谦让的,适度的"
drive,"n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器"
afford,"vt.提供,给予,供应得起,"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
story,"n.故事,小说,传说,事迹,经历,假话,谎话"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
aesthetic,"adj.美学的,审美的,有审美感的"
forthright,"adv.马上,立即adj.直接的,直率的,坦白的,豪爽的n.直路"
mispredict,
mechanical,"adj.机械的,机械制的,机械似的,呆板的"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
helicopter,"n.直升(飞)机,直升机"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
talented,adj.有才能的
landscape,"n.风景,山水画,地形,前景v.美化"
revolution,"n.革命,旋转"
acquire,"vt.获得,学到"
self-sufficiency,
inevitable,"adj.不可避免的,必然的"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
announce,"vt.宣布,通告"
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
anticapitalist,adj.&n.反对资本主义的(人)
chef,n.厨师
abolish,"vt.废止,废除(法律、制度、习俗等)"
luxury,"n.奢侈,华贵"
committed,
explore,"v.探险,探测,探究"
make sense,
tempting,adj.诱惑人的
rational,"adj.理性的,合理的,推理的n.[数]有理数"
applicability,"n.适用性,适应性"
stick with,
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
apparently,adv.显然地
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
conduct,"n.行为,操行v.引导,管理,为人,传导"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
correlate,vt.使相互关联vi.和...相关
amount,"n.数量vi.(to) 总计,等于"
weakly,"adv.虚弱地,软弱地,有病地adj.虚弱的,软弱的,有病的"
response,"n.回答,响应,反应"
lightly,"adv.轻轻地,轻松地"
conversation,"n.会话,交谈"
refill,"v.再装满,补充,再充填n.新补充物,替换物"
server,n.服务器
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
invitation,"n.邀请,招待"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
upselling,
cocktail,"n.鸡尾酒,(第一道用杯盛的)开味食品adj.鸡尾酒的"
reward,"n.报酬,奖金vt.酬劳,奖赏"
unrecognized,adj.未被承认的
in addition,
norm,"n.标准,规范"
greasy spoon,
outcome,"n.结果,成果"
imported,
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
low-key,
tip pooling,
fine-dining,
ruin,"v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹"
connection,"n.连接,关系,接线,线路,亲戚"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
unfaithfulness,
distrust,n.不信任vt.不信任
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
partner,"n.合伙人,股东,舞伴,伴侣vt.与...合伙,组成一对vi.做伙伴,当助手"
in truth,
protection,n.保护
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
regardless of,
individual,"n.个人,个体adj.个别的,单独的,个人的"
involve,"vt.包括,笼罩,潜心于,使陷于"
permanency,"n.恒久的人[物、地位],永存"
fund,"n.资金,基金v.支助,投资"
savvy,"v.知道,了解n.机智,头脑,理解,悟性"
hardship,"n.困苦,艰难,辛苦"
extremely,"adv.极端地,非常地"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
unique,"adj.唯一的,独特的"
representative,"n.代表adj.典型的,有代表性的"
protective,"adj.给予保护的,保护的"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
incredible,adj.<口>难以置信的
earnings,"n.所得,收入"
nest egg,
on top of,
pension,"n.养老金,退休金"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
fellow,"n.人,家伙,伙伴,学会特别会员,朋友,同事adj.同伴的,同事的,同道的"
guarded,"adj.被防护者的,被看守着的,被监视着的,警戒着的"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
confess,"v.承认,坦白,忏悔"
motive,"n.动机,目的adj.发动的,运动的"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
protect,vt.保护 /n.保护/解除
suspicious,"adj.(～ of) 可疑的,怀疑的"
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
admit,"v.容许,承认,接纳"
sensible,"adj.有感觉的,明智的,有判断力的"
security,n.安全
gender,"n.[语法] 性,<口>性别,性,性交"
in particular,
senior,"adj.年长的,资格较老的,地位较高的,高级的"
overwhelmingly,"adv.压倒性地,不可抵抗地"
male,"adj.男的,雄的,男性"
equality,"n.等同性,同等,平等,相等,等式"
corporate,"adj.社团的,法人的,共同的,全体的"
governance,"n.统治,管理,统辖"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
legislation,"n.立法,法律的制定(或通过)"
maintain,"vt.维持,维修,继续,供养,主张"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
frustration,"n.挫败,挫折,受挫"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
take up,
compel,"vt.强迫,迫使"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
fairly,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
quota,"n.配额,限额"
glass ceiling,
bind,"v.绑,镶边,装订,凝固,约束"
provision,"n.供应,(一批)供应品,预备,防备,规定"
reluctance,"n.不愿,勉强"
belief,"n.信任,信心,信仰"
meritocracy,n.知识界精华
run counter to,
capable,"adj.有能力的,能干的,有可能的,可以...的"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
obstacle,"n.障碍,妨害物"
temporarily,adv.临时
evade,"v.规避,逃避,躲避"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
precisely,adv.adv.正好
promotion,"n.促进,发扬,提升,提拔,晋升"
massive,"adj.厚重的,大块的,魁伟的,结实的"
exception,"n.除外,例外,反对,异议"
appropriate,adj.适当的
newsworthy,adj.有报导价值的
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过"
in place,
automatic,"n.自动机械adj.自动的,无意识的,机械的"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
cue,"n.暗示,提示,球杆"
consumer,n.消费者
wipe,"v.擦,揩,擦去"
in response to,
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
figure out,
tropical,"adj.热带的,热情的"
hygiene,"n.卫生,卫生学"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
routine,"n.例行公事,常规,日常事务,程序"
disinfecting,
vitamin,"n.维他命,维生素"
shrewd,adj.精明
pearly,"adj.珍珠似的,用珍珠装饰的"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
fabric,"n.织品,织物,布,结构,建筑物,构造"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
cavity,"n.洞,空穴,[解剖]腔"
beverage,n.饮料
primarily,"adv.首先,起初,主要地,根本上"
adolescent,"adj.青春期的,青春的;n.青少年"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
put on makeup,
sip,
commercial,"adj.商业的,贸易的"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
psychologist,n.心理学者
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
viable,"adj.能养活的,能生育的,可行的"
ruthless,"adj.无情的,残忍的"
controversy,"n.论争,辩论,论战"
tactic,"n.策略,战略adj.按顺序的,排列的"
questionable,adj.可疑的
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
erupt,vt.喷出vi.爆发
indissoluble,adj.不能分解的
spectator,n.观众(指比赛或表演)
paradise,n.天堂
priority,"n.先,前,优先,优先权"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
readjust,"vt.重新调整,再调整"
adapt,"vt.使适应,改编"
passive,adj.被动的
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
audience,"n.听众,观众,接见,拜见"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
reality,"n.真实,事实,本体,逼真"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
conventional,"adj.惯例的,常规的,习俗的,传统的"
review,"vt.回顾,复习n.回顾,复习,评论"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
profile,"n.剖面,侧面,外形,轮廓"
supporter,"n.支持者,赡养者,拥护者"
consumer,n.消费者
flat,"adj.平坦的,扁平的,单调的,倒下的,浅的,干脆的,无聊的,无力的adv.平直地,仰卧地,恰恰,正好,断然地n.平面,平地,一层,公寓v.(使)变平,(使)降半音"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
publish,"v.出版,刊印vt.公布,发表"
gigantic,"adj.巨人般的,巨大的"
occupy,"vt.占,占用,占领,占据"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
bench,n.长椅子
batter,"n.击球手v.打坏,猛击"
at one's disposal,
replay,"vt.重新比赛,重新表演,重放n.重赛"
foresee,"vt.预见,预知"
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
helmet,"n.头盔,钢盔"
option,"n.选项,选择权,[经]买卖的特权"
largely,"adv.主要地,大量地,很大程度上"
conservative,"adj.保守的,守旧的n.保守派"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
survive,"v.幸免于,幸存,生还"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
coverage,n.复盖
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
contradict,"vt.同...矛盾,同...抵触"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
ceiling,"n.天花板,最高限度"
modest,"adj.谦虚的,谦让的,适度的"
event,"n.事件,事变,结果,活动,精力,竞赛"
construct,"vt.建造,构造,创立"
access,"n.通路,访问,入门vt.存取,接近"
recreational,"adj.休养的,娱乐的"
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
take over,
utmost,"n.极限,最大可能,极力adj.极度的,最远的"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
philosophy,"n.哲学,哲学体系,达观,冷静"
moreover,"adv.而且,此外"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
hold sb. down,
inopportune,adj.不合适的
grieve,"v.(使)悲痛,(使)伤心,忧伤"
relationship,"n.关系,关联"
mourning,"n.悲恸,服丧"
furthermore,"adv.此外,而且"
eventually,"adv.最后,终于"
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
opportunity,"n.机会,时机"
harmful,"adj.有害的,伤害的"
reaction,"n.反应,反作用,反动(力)"
inner,"adj.内部的,里面的,内心的n.内部"
exaggerate,"v.夸大,夸张"
misunderstand,"vt.误解,误会"
luxuriant,"adj.丰产的,丰富的,肥沃的,奢华的"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
signal,"n.信号adj.信号的v.发信号,用信号通知"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
surround,"vt.包围,环境v.围绕"
weigh sb. down,
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
circumstance,"n.环境,详情,境况"
value,"n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视"
happiness,
focus on,
guilt,"n.罪行,内疚"
possibility,"n.可能性,可能发生的事物"
mindset,
grateful,"adj.感激的,感谢的"
pause,"n.中止,暂停,休止符vi.暂停,中止,停顿,踌躇n.暂停"
complain,"v.抱怨,悲叹,控诉"
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
isolated,"adj.隔离的,孤立的,单独"
keep in mind,
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
humor,"n.幽默,心情,诙谐vt.迎合,牵就,顺应"
companionship,"n.交谊,友谊"
participate,"vi.参与,参加,分享,分担"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
encouragement,"n.鼓励,奖励"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
pave,
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
devalue,"v.(=devaluate)减值,贬值"
incapable of doing sth.,
path,"n.小路,小径,路线,轨道,通道"
objectivity,"n.客观性,客观现实"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
settler,"n.移民者,殖民者,[律]财产赠予者,托管财产者"
folk,"n.人们,亲属(复数),民族adj.民间的"
permanent,"adj.永久的,持久的"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
affectionate,"adj.亲爱的,挚爱的"
Atlantic,
sojourner,"n.旅居者,寄居者"
intention,"n.意图,目的"
eventually,"adv.最后,终于"
nickname,"n.诨号,绰号,昵称vt.给...取绰号,给...起浑名"
rigid,"adj.刚硬的,刚性的,严格的"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
kick out,
contribute,"v.捐助,捐献,贡献,投稿"
paralysis,"n.瘫痪,麻痹"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
challenge,n.挑战vt.向...挑战
category,"n.种类,别,[逻]范畴"
in the making,
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
framework,"n.构架,框架,结构"
mightily,"adv.强烈地,非常地"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
gray area,
entrepreneur,"n.<法>企业家,主办人"
aide,"n.<美>助手,副官,侍从武官"
participant,"n.参与者,共享者adj.参与的"
energetic,"adj.精力充沛的,积极的"
flow,"n.流程,流动,(河水)泛滥,洋溢vi.流动,涌流,川流不息,飘扬vt.溢过,淹没"
permission,"n.许可,允许"
jurisdiction,n.权限
identity,"n.同一性,身份,一致,特性,恒等式"
productive,"adj.生产性的,生产的,能产的,多产的"
honorably,"adv.值得尊敬地,体面地"
straddle,v.跨骑
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
motion,"n.运动,动作v.运动"
logic,"n.逻辑,逻辑学,逻辑性"
outcome,"n.结果,成果"
exist,"vi.存在,生存,生活,继续存在"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
accomplish,"vt.完成,达到,实现"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
talkative,"adj.多话的,爱说话的,多嘴的"
couch,"n.(文学)床,睡椅 v.(用语言)表达"
complain,"v.抱怨,悲叹,控诉"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
suburban,"adj.郊外的,偏远的"
anecdote,"n.轶事,奇闻"
comment,"n.注释,评论,意见vi.注释,评论"
nod,"v.点头,点... n.点头"
burst into laughter,
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
crystallize,v.明确
irony,"n.反话,讽刺,讽刺之事"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
tend to,
wreak havoc,
sociologist,"n.社会学家,社会学者"
interview,"vt.接见,会见n.接见,会见"
communication,"n.传达,信息,交通,通讯"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
given,"adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词"
amount to,
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
tangible,adj.切实的
accompany,"vt.陪伴,伴奏"
partner,"n.合伙人,股东,舞伴,伴侣vt.与...合伙,组成一对vi.做伙伴,当助手"
inequity,"n.不公平,不公正"
first and foremost,
in short,
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
stereotypical,
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词)v.画漫画n.卡通片,动画片"
glare,"n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
scene,"n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置"
advancing age,
memory,"n.记忆,记忆力,回忆,存储(器),存储器 存储器,内存"
mental,"adj.精神的,智力的"
blackout,"n.灯火管制,(暂时的)眩晕,中断"
blank out,
waistline,"n.腰围,腰身部分"
rolling,"adj.旋转的,转动的,摇摆的,起伏的n.旋转,翻滚,动摇"
joke,"n.笑话,玩笑v.(和...)开玩笑"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
inescapable,"adj.逃不掉的,不可避免的"
sort of,
tend to,
lapse,"n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降"
blame,"n.过失,责备vt.责备,谴责"
go by,
related,"adj.叙述的,讲述的,有关系的"
teenager,n.十几岁的青少年
distracted,adj.心烦意乱的
disorganized,"adj.紊乱的,无组织的"
decade,"n.十年,十"
mechanism,"n.机械装置,机构,机制"
psychologist,n.心理学者
inefficient,"adj.效率低的,效率差的,(指人)不能胜任的,无能的"
processing,处理
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
efficiency,"n.效率,功效"
athlete,"n.运动员,运动选手"
task,"n.任务,作业v.分派任务"
slow down,
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
caution,"n.小心,谨慎,警告vt.警告"
skilled,adj.熟练的
expend,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
compensate,"v.偿还,补偿,付报酬"
slippage,"n.滑动,滑移,滑程"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
quick-fix,
top form,
gym," gymnasium 体育;n.体育馆,体操"
versus," prep.对(指诉讼,比赛等中),与...相对"
revolution,"n.革命,旋转"
acutely,"adv.尖锐地,剧烈地"
fragile,"adj.易碎的,脆的"
boom and bust,
outmode,v.使过时
appetite,"n.食欲,胃口,欲望,爱好"
