cent,"n.(货币单位)分,分币"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
reset,v.重新安排
preset,vt.事先调整n.边框形式
inset,"n.插入物,插进"
unsettle,v.不安
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
opponent,"adj.对立的,对抗的n.对手,反对者"
postpone,"vt.推迟,使延期,延迟"
compose,"v.组成,写作,排字,(使)安定,调解"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
expose,"vt.使暴露,受到,使曝光v.揭露"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
proposal,"n.提议,建议"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
component,"n.成分adj.组成的,构成的"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
composition,"n.写作,作文,成分,合成物"
exposition,"n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部"
discompose,v.不安
depose,"vt.免职,废(王位),作证vi.宣誓作证"
media,n.媒体
middle,"n.中间,当中adj.中间的,中部的"
midday,n.正午
midnight,n.午夜
midsummer,"n.仲夏,夏至"
midway,"n.中途,半路adj.中途的adv.在中途"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
midfield,n.球场中央部分adj.中场的
mediation,"n.仲裁,调停,调解"
midst,n.中间 prep.在...中间
mediator,"n.调停者,仲裁人,[宗]中保(指耶稣,<<圣经.新约>>中称他是上帝和人之间的中保)"
intermediate,adj.中间的n.媒介
meddle,v.管闲事
midterm,adj.中间的n.期中考试
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
localism,"n.方言,地方主义,地方观念"
relocate,v.重新部署
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
allocate,"vt.分派,分配"
locality,"n.位置,地点"
collocate,v.配置
dislocate,"vt.脱臼,使...脱位,(使交通、机器、事务等)混乱"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
determined,"adj.坚决的,决定了的"
terminate,"v.停止,结束,终止"
termination,n.终止
exterminate,v.消除
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
formula,"n.公式,规则,客套语"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
perform,"vt.履行,执行,表演,演出v.完成任务"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
informative,"adj.情报的,提供情报的,见闻广博的"
formation,"n.形成,构成,编队"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
formalism,"n.拘泥形式,(艺术或宗教上的)形式主义,虚礼"
deform,v.(使)变形
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
ideology,n.意识形态
ideological,adj.意识形态的
idealism,"n.理想主义,唯心论"
idealize,v.理想化
ideograph,n.象形(表意)文字
computer,"n.计算机,电脑"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
reputation,"n.名誉,名声"
repute,"n.名誉,名声v.名誉,认为,称为"
disrepute,"n.坏名声,无信誉,不光彩"
compute,"v.计算,估计,用计算机计算(或确定)"
impute,"vt.归罪于,归咎于,归因于"
quest,n.寻求
question,"n.问题,疑问,询问v.询问,审问,怀疑"
conquest,n.征服n.战利品
request,"vt.请求,要求n.请求,要求,邀请"
acquire,"vt.获得,学到"
inquire,"v.询问,问明,查究"
require,"vt.需要,要求,命令"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
acquirement,"n.取得,习得"
inquest,n.审讯
inquisition,"n.调查,探究,审理,(中世纪天主教审判异教徒)宗教裁判所"
requisite,"adj.需要的,必不可少的,必备的n.必需品"
acquired,"adj.已获得的,已成习惯的,后天通过自己的努力得到的"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sensible,"adj.有感觉的,明智的,有判断力的"
sensitive,"adj.敏感的,灵敏的,感光的"
consensus,"n.一致同意,多数人的意见,舆论"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
nonsense,"n.胡说,废话"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
resentment,"n.怨恨,愤恨"
resent,"v.愤恨,怨恨"
sensory,"adj.感觉的,感官的"
sensibility,n.敏感性
assent,n.赞成vi.同意
consentient,"adj.同意的,无异议的"
dissent,v.不同意
sentimental,"adj.感伤性的,感情脆弱的"
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得"
clarify,"v.澄清,阐明"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
declaration,"n.宣布,宣言,声明"
clearance,n.清除
clarity,"n.清楚,透明"
clearing,n.空旷地
pardon,"vt.原谅,宽恕n.原谅,宽恕"
donor,n.捐赠人n.[化] 原料物质
donate,"v.捐赠,赠予"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
tradition,"n.传统,惯例"
edit,"vt.编辑,校订,剪辑n.编辑工作"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
acting,"adj.代理的,起作用的,演戏的"
react,"vi.起反应,起作用,反抗,起反作用"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
exact,"adj.精确的,准确的,原样的,精密的,严格vt.强求,急需,要求"
interact,"vi.互相作用,互相影响"
transact,"v.办理,交易,谈判,处理"
counteract,"vt.抵消,中和,阻碍"
enact,"vt.制定法律,颁布,扮演"
inactivity,"n.静止,不活泼,休止状态"
actualize,"vt.实现,实施"
agency,"n.代理处,行销处,代理,中介"
agenda,n.pl.议程
agent,n.代理(商)
agile,"adj.敏捷的,轻快的,灵活的"
agility,"n.敏捷,活泼"
agitate,"v.搅动,摇动,煽动,激动"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
fiction,"n.虚构,编造,小说"
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
manufacture,"vt.制造,加工n.制造,制造业,产品"
affect,"vt.影响,感动,侵袭,假装"
infect,"vt.[医] 传染,感染"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
feasible,"adj.可行的,切实可行的"
defect,"n.过失,缺点"
efficient,"adj.(直接)生效的,有效率的,能干的"
infectious,"adj.有传染性的,易传染的,有感染力的"
proficient,n.精通
defection,"n.缺点,背信,背叛,变节"
facile,"adj.易做到的,易得到的,不花力气的,敏捷的,流畅的,(性格)柔顺的,温和的,容易的"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
suffice,"vi.足够,有能力vt.使满足"
emotion,"n.情绪,情感,感情"
automobile,"n.<主美>汽车(=<英>motor car,car)"
motion,"n.运动,动作v.运动"
motive,"n.动机,目的adj.发动的,运动的"
motivate,v.激发
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
promotion,"n.促进,发扬,提升,提拔,晋升"
mob,"n.(集合词)暴徒,乌合之众,(盗贼等的)一群v.成群暴动,聚众滋扰"
mobilize,v.动员
mobster,"n.<美俚>犯罪集团成员,匪徒,歹徒"
immobile,n.稳定
locomotive,"n.机车,火车头adj.运动的"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
operation,"n.运转,操作,实施,作用,业务,工作,手术,军事行动"
cooperate,"vi.合作,协作"
cooperation,"n.合作,协作"
operable,adj.可操作的
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东"
treatment,"n.待遇,对待,处理,治疗"
treaty,"n.条约,谈判"
retreat,"vi.撤退,退却n.撤退,退却"
maltreat,"vt.虐待,滥用"
entreat,"v.恳求,乞求,<古>对待,对付"
emission,"n.(光、热等的)散发,发射,喷射"
permission,"n.许可,允许"
transmission,"n.播送,发射,传动,传送,传输,转播"
admit,"v.容许,承认,接纳"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
emit,"vt.发出,放射,吐露,散发,发表,发行"
mission,"n.使命,任务,使团,代表团"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
submission,"n.屈服,降服,服从,谦恭,投降"
emissive,"adj.发射的,放射性的"
missionary,"adj.传教的,传教士的n.传教士"
permissive,adj.许可的
omit,"vt.省略,疏忽,遗漏"
use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
disuse,"n.废弃,不被使用vt.废止,停止使用"
usual,"adj.平常的,通常的,惯例的"
unusual,"adj.不平常的,与众不同的,不寻常的"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
utility,"n.效用,有用"
utilize,vt.利用
usage,"n.使用,用法"
misuse,"v.误用,错用,滥用,虐待n.误用,错用,滥用,误用之实例"
abusive,"adj.辱骂的,滥用的"
able,"adj.能...的,有才能的,能干的,能够的"
ability,"n.能力,才干"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
debilitate,"vt.使衰弱,使虚弱"
habilitate,"vt.提供周转资金,予以穿着vi.取得资格"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
effort,"n.努力,成就"
enforce,"vt.强迫,执行,坚持,加强"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
fort,"n.堡垒,边界上的贸易站"
solve,"vt.解决,解答"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
resolute,adj.坚决的
resolution,"n.坚定,决心,决定,决议;分辨率"
dissolve,"v.溶解,解散"
solvable,"adj.可以解的,可以解决的"
absolve,v.宣布免除
soluble,"adj.可溶的,可溶解的"
technical,"adj.技术的,技术上的,技巧方面的"
technician,"n.技术员,技师"
technique,"n.技术,技巧,方法,表演法,手法"
technology,"n.工艺,科技,技术"
polytechnic,adj.工艺的n.工艺学校
praise,"vt.赞扬,歌颂,称赞n.赞扬,赞美的话,赞美,荣耀,称赞"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
depreciation,"n.贬值,减价,跌落,折旧,轻视"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
appraise,v.评价
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
appreciative," a欣赏的,有欣赏力的,表示感激的,承认有价值的"
appreciable,"adj.可感知的,可评估的"
lax,"adj.松的,松懈的,不严格的,腹泻的,松驰的n.泻肚,[语]松元音"
relax,"vi.放松,休息,休养,变从容vt.使松驰,缓和,使松懈,使休息"
relaxation,"n.松弛,放宽,缓和,减轻,娱乐"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
laxity,n.松驰
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
fundament,"n.基础,基本原理,臀部"
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
unfounded,"adj.没有理由的,未建立的"
profundity,"n.深度,深处,深奥,深刻"
expensive,"adj.花费的,昂贵的"
expense,"n.费用,代价,损失,开支,费钱之物"
pension,"n.养老金,退休金"
compensate,"v.偿还,补偿,付报酬"
expend,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
expenditure,"n.支出,花费"
dispensable,"adj.不是必要的,可有可无的"
dispense,"vt.分发,分配"
service,"n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的"
servant,n.仆人
deserve,"vt.应受,值得v.应受"
conserve,"vt.保存,保藏"
conservation,"n.保存,保持,守恒"
observe,"vt.观察,观测,遵守,评述,说"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
reserved,"adj.保留的,包租的"
conservative,"adj.保守的,守旧的n.保守派"
observance,"n.遵守,惯例,仪式,庆祝"
observatory,"adj.天文台,气象台"
attempt,"n.努力,尝试,企图vt.尝试,企图"
temptation,"n.诱惑,诱惑物"
tempting,adj.诱惑人的
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
temptatious,
culture,"n.文化,文明"
cultivate,"vt.培养,耕作"
horticulture,n.园艺
cult,"n.礼拜,祭仪,一群信徒,礼拜式"
incult,"adj.没有开垦的,没有耕种的,没有教养的"
picture,"n.画,图画,照片,像,美景,描述,相似物,化身vt.画,描绘"
picturesque,adj.独特的
depict,"vt.描述,描写"
pictorial,adj.图示的n.画报
pictograph,"n.象形文字,古代石壁画"
textile,n.纺织品adj.纺织的
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
context,"n.上下文,文章的前后关系"
pretext,"n.借口,托辞v.借口"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
approachable,"adj.可接近的,平易近人的,亲切的"
reproach,v.责备
approximation,"n.接近,走近,[数]近似值"
proximity,"n.接近,亲近"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initialize,vt.初始化
initiate,"vt.开始,发动,传授v.开始,发起"
initially,"adv.最初,开头"
initiation,n.开始
adept,"adj.熟练的,拿手的;n.老手,擅长者"
adapt,"vt.使适应,改编"
aptitude,"n.恰当,智能,聪明,自然倾向"
adaptable,"adj.能适应的,可修改的"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
inapt,adj.不确切的
intelligence,"n.智力,聪明,智能"
select,"vt.选择,挑选adj.精选的"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
collective,adj.集体的n.集体
elector,"n.有选举权的人,选举人,竞选人"
intellect,n.智力
eligible,"adj.符合条件的,合格的"
recollect,"v.回忆,想起,记起,忆起,记得"
negligence,n.疏忽
adopt,"vt.采用,收养"
adoptable,"adj.可采用的,可收养的"
adoptive,"adj.收养关系的,采用的"
option,"n.选项,选择权,[经]买卖的特权"
optional,"adj.可选择的,随意的"
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现"
happy,"adj.快乐的,幸福的,陶醉于...的,恰当的"
perhaps,"adv.或许,多半"
mishap,n.灾祸
haphazard,"n.偶然,偶然事件adj.偶然的,随便的adv.偶然地"
hapless,"adj.倒霉的,不幸的"
accelerate,"v.加速,促进"
celerity,"n.敏捷,快速"
acceleration,n.加速度
decelerate,v.(使)减速
accelerator,"n.加速者,加速器"
deceleration,n.减速
mental,"adj.精神的,智力的"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
comment,"n.注释,评论,意见vi.注释,评论"
mentor,"n.[希神]门特(良师益友),贤明的顾问,导师,指导者"
mentation,"n.精神作用,心理状态"
commentate,"vt.评论,解说vi.评论时事"
notify,v.通报
notice,"n.通知,布告,注意v.注意到"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
notorious,adj.声名狼籍的
notable,"adj.值得注意的,显著的,著名的"
denote,"vt.指示,表示"
annotate,"v.注释,评注"
grateful,"adj.感激的,感谢的"
gratitude,n.感谢的心情
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
agreeable,"adj.使人愉快的,惬意的,适合的"
gracious,"adj.亲切的,高尚的"
gratify,vt.使满足
gratification,n.满意
ingratiate,"vt.使迎合,使讨好"
charity,"n.慈善,施舍,慈善团体,"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
cherish,"vt.珍爱,怀抱(希望等)"
charitable,"adj.仁慈的,(为)慈善事业的,宽恕的"
optimistic,adj.乐观的
optimize,vt.使最优化
optimism,"n.乐观,乐观主义"
optimum,n.最适宜adj.最适宜的
optimal,"adj.最佳的,最理想的"
labor,"n.劳动,努力,工作,劳工,分娩,阵痛vi.劳动,努力争取(for),苦干vt.详细分析,麻烦"
collaborate,"vi.合作,通敌"
laboratory,n.实验室
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
labored,"adj.吃力的,谨慎的"
laborious,"adj.(指工作)艰苦的,费力的,(指人)勤劳的"
belabor,"vt.<古>痛打,不断辱骂和嘲弄,就...作过分的冗长的讨论或分析等"
energy,"n.精力,精神,活力,[物]能量"
alert,"adj.提防的,警惕的n.警惕,警报"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
exertion,"n.尽力,努力,发挥,行使,运用"
energetic,"adj.精力充沛的,积极的"
anergy,"n.[医]无反应力,无力"
energize,"vt.使活跃,给予精力,加强,给与...电压vi.用力,活动"
novelty,"n.新颖,新奇,新鲜,新奇的事物"
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
innovate,
renovate,"vt.革新,刷新,修复"
renovation,n.革新
innovation,"n.改革,创新"
innovative,"adj.创新的,革新(主义)的"
novice,"n.新手,初学者"
nurse,"n.护士,保姆vt.护理,看护v.照料"
nursery,n.托儿所
nutritious,"adj.有营养成分的,营养的"
nutrient,adj.有营养的
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
nourishment,"n.食物,营养品"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
nutritionist,n.营养学家
nutrient,adj.有营养的
malnutrition,"n.营养失调,营养不良"
photograph,n.照片
program,"n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目"
grammar,"n.文法,有关原理的书,入门的书"
diagram,n.图表
autograph,"n.亲笔签名,手稿adj.署名v.署名"
biographer,n.传记作者
identification, /n.身份证
identity,"n.同一性,身份,一致,特性,恒等式"
identical,"adj.同一的,同样的"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identic,"adj.同一的,恒等的,完全相同的,措词相同的,形式相同的"
identifiable,adj.可以确认的
ample,"adj.充足的,丰富的"
example,"n.例子,实例,例题,范例,榜样,鉴戒,实例"
exemplify,"vt.例证,例示,作为...例子"
exemption,"n.解除,免除,免税"
redeem,"vt.赎回,挽回,恢复,补偿,兑换"
exempt,v.免除adj.被免除的
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
debate,"v.争论,辩论n.争论,辩论"
rebate,"n.回扣,折扣vt.减少,打折扣vi.给...回扣,打折扣"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
mountain,"n.山,山脉"
mountainous,"adj.多山的,山一般的,巨大的"
insurmountable,"adj.不能克服的,不能超越的"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
surmount,"vt.战胜,超越,克服,在...顶上"
artificial,"adj.人造的,假的,非原产地的"
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
artful,"adj.巧妙的,狡猾的"
artifact,n.人造物品
artifice,n.技巧
artisan,"n.工匠,技工"
artless,adj.朴实的
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
impotence,"n.无力,虚弱,无效,[医]阳萎"
omnipotent,"adj.全能的,无所不能的"
potent,"adj.有力的,有效的"
impotent,"adj.无力的,虚弱的,无效的,[医]阳萎的"
nominate,"vt.提名,推荐,任命,命名"
anonymous,adj.匿名的
homonymous,"adj.同音异义的,双关的,同名的"
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
nominee,"n.被提名的人,被任命者"
pseudonym,"n.假名,笔名"
