man-made,[经] 人造的
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
[计] 标志; 属性标记命令"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
[计] 关闭, 清屏命令"
all kinds of,各种各样的
vacation,"n. 假期, 休假
[法] 假期, 停审期, 休庭期"
take a vacation,度假
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
band,"n. 带子, 队, 乐队
v. 联合, 结合
[计] 频带; 波段; 区"
UK,"n. 英国；联合王国
abbr. United Kingdom 联合王国
[网络] 英国(United Kingdom)；尿激酶(urokinase)；英国码"
as soon as,一...就
fourth,"adj. 第四的，第四个的；四分之一的
n. 第四，月的第四日；四分之一
num. 第四"
sixth,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的"
seventh,"num. 第七, 七分之一"
eighth,"adj. 第八的；八分之一的
num. 第八；八分之一"
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
tenth,"num. 第十；十分之一
adj. 十分之一的；第十个的"
twelfth,"adj. 第十二的，第十二个的；十二分之一的
n. 第十二；月的第十二日"
twentieth,"n. 二十分之一
adj. 第二十的；二十分之一的
num. 第二十"
among,prep. 在...之中
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
[医] 言语, 语言"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
corn,"n. （美）玉米；（英）谷物；[皮肤] 鸡眼
vt. 腌；使成颗粒
n. (Corn)人名；(英、法、瑞典)科恩"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
lay,"vt. 躺下；产卵；搁放
adj. 世俗的；外行的
n. 位置；短诗；花纹方向
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）
n. (Lay)人名；(中)雷(普通话·威妥玛)；(英、法、德、意、匈、罗)莱；(缅)礼"
lay the table,"摆餐具,摆餐桌"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
dish,"n. 盘子, 碟, 菜肴
[医] 皿, 碟"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
ourselves,[网络] 诸多自我；内反思我们的诸多自我
including,"prep. 包含, 包括
[经] 包括, 算入"
medal,"n. 奖牌, 勋章
vt. 授勋予"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
once again,"na. 一再；再一次；“once again/more”的变体
[网络] 再度；再次；又一次"
doctor,"n. 医生；博士
vt. 修理；窜改，伪造；为…治病；授以博士学位
vi. 就医；行医"
degree,"n. 程度, 度数, 学位, 度
[医] 度, 程度"
whatever,"adj. 不管什么样的
pron. 无论什么；诸如此类
conj. 无论什么"
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
amazing,a. 令人惊异的
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
victory,"n. 胜利, 战胜, 克服"
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
Canadian,a. 加拿大的
sick,"n. 病人；呕吐物
adj. 恶心；晕船；有病的；想呕吐
v. 攻击；追击；(纵狗)追击；〈美〉嗾使(狗等)去咬[去攻击]
[网络] 不舒服的；病了；德国施克"
soldier,"n. 军人；[昆] 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
war,"war1
[wɔ:]
n.
战争；战争时期
斗争；对抗；竞争
军事学，兵法；战术；军事职业
国防部
【牌戏】比大小；对峙
[古语]作战部队；战役，战斗
[废语]军备
vi.
进行战争；战斗；卷入军事冲突：
进行斗争；竞争：
短语:
a war of words
争论，论战
(be) at war (with)
(同…)处于战争(或交战)状态
(同…)不和；(同…)进行竞争(或斗争)；(与…)吵架
brushfire war
灌木林火式的战争，局部地区(或小规模)的战争
Buckshot War
【美国历史】鹿弹战争(1838年美国哈里斯堡城因选举事发生民众暴动，部队使用猎鹿的铅弹镇压)
carry the war into the enemy's camp (或 country)
【军事】进军敌国，在敌人的领土内作战，向敌人反击
反驳，提出反控诉；提出反指责
declare war on (或 upon)
(向…)宣战；(向…)发动进攻
表示反对…
dirty war
肮脏的战争(尤指帝国主义侵略战争)
dogs of war
战争造成的破坏；战祸
drift into war
卷入战争漩涡
enter into war
参战，介入战争
exchange war
外汇战
foment(a) war
煽动战争，挑起战争
from before the war
[口语]从战争以前起
go to war (或 wars)
[古语]
当兵，从军
(从英国)出发到海外作战
go to war
开战，打仗，诉诸武力
上前线作战；(战时)参军
Great War
第一次世界大战(1914 —1918)
have been in the war
[口语]
(在打架或意外事故中)受过伤；吃过苦头[亦作 be in the wars]
在战争中负过伤
make (或 levy, wage) war against (或 on, upon)
向…开战(或作战)；设法强行控制[亦作 wage war with]
Opium War
【历史】鸦片战争
paper war (或 warfare)
笔战，论战
Phoney War
假战争(1939年9月至1940年5月间，德法两军各守防线，按兵不动，被称为假战争)
price war
价格战，一再降价的商业竞争
private war
(个人或家族间的)私斗；未经本国政府同意对别国居民发动的战争
push-button war
按钮战争(指按动电钮以发射导弹等武器的现代化战争)
shooting war
真枪实弹的战争(与冷战和精神战相对而言)
sinews of war
见 sinew
total war
总体战(动员所有的武器和资源的战争)
trade war
贸易战
unleash (a) war
发动战争
wage war on
＝make war on
war in the third dimension
空中作战
War is the sport of kings.
[谚语]战争是帝王的娱乐。
war of attrition
消耗战
war of movement
机动战，运动战
war of position
阵地战
war of (the) elements
大自然灾害，暴风雨
war to the death (或 knife)
你死我活的斗争，殊死战
变形：
vi.
warred
. warring
war2
[wɑ:]
adv., adj.
[苏格兰和英格兰北部方言]=worse
war3
[wɑ:]
vt., vi.
=ware2
war4
[wɑ:]
n.
=ware1
War.
abbr.
Warsaw
Warwickshire
war.
abbr.
warrant"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
die for,为…而献身; 〈口〉急需(某物)
wounded,"a. 受伤的
[法] 受伤者; 受伤的, 受了损害的"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
dying,"a. 垂死的
[法] 快要死的, 垂死的, 临终的"
care,"CARE
abbr.
Cooperative for American Relief Everywhere 美国援外合作署,美国赈济合作社(由各教派、工会等团体组成的救济组织)[亦作 Care]
care
[kεə]
n.
烦恼，忧虑；操心
引起烦恼、忧虑的缘故；操心的事
当心，小心，注意；谨慎
关心，关怀，关切；爱护
照顾，照管；看护，监护
负责照管的事情；负责，责任
vi.
关心，关怀；担心；操心：
He cared only about his own family.
他只关心自己的家庭。
介意；计较；反对：
Do you care if I open the window?
我打开窗户您介意吗?
喜爱，喜欢；对…中意(常与 for 连用)：
She does not care very greatly for art.
她对艺术不十分感兴趣。
He didn't care for anything about Europe.
他一点也不喜欢欧洲。
照顾，照料，照看；赡养(常与 for 连用):
Who is to care for me when I'm old?
我年老时谁来照顾我呢?
希望；想要；想做(常与 for 连用)：
Do you care for more cake?
您还要点蛋糕吗?
vt.
对…介意，计较；对…关心：
I don't care what they say.I shall go on just the same.
我不管他们说什么，我将照样干下去。
想要；希望；欲望[后接不定式，常用于否定、疑问及条件句中]：
Would you care to come?
你愿意来吗?
Anyone who cares to come will be welcome.
凡是愿意来的人一律欢迎。
近义词:
concern
. solicitude
. worry
. anxiety
反义词:
unconcern
. indifference
短语:
beyond (或 past) caring
不关心；不管，不理会
could care less
[短语 couldn't care less的讹用][口语]一点也不在乎；毫不关心，根本不放在心上
drown care
(以酒等)消愁解闷
for all (或 what) I care
[口语]与我无关，关我什么事
give care (to)
留意，注意；当心
have a care
谨慎，小心；当心，注意[亦作 take care]
have the care of
照料
I don't care if I do.
[口语]好吧，我没意见。[接受对方邀请喝酒时的答语]
leave… to the care of someone
把…托付给某人照料(或保护)
place… under the care of someone
把…置于某人保护(或照管)之下
take care
提防，注意，当心[用作命令式]
[口语]保重；再见
take care of
[美国英语]
负责；照顾；关怀
赡养，为…提供生计
应付，处理；满足…的需要
[委婉语]逮捕
take into care
送(无人管教的孩子等)进孤儿院(或教养院等)
under the care of
在…的照管下；由…管理
Who cares?
[口语]管它呢!(表示无所谓、撒手不管)
变形：
vi.
cared
. caring"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
at that time,在那时
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
useful,"a. 有用的, 有益的
[机] 有用的, 有效的"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
himself,pron. 他自己；他亲自，他本人
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
[计] 运算"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
die of,"死于…,因…而死"
Canada,n. 加拿大
platform,"n. 站台, 月台, 讲台, 论坛, 平台
[计] 平台"
meeting,"n. 会议, 会面
[法] 会议, 会谈, 集会"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
anybody,"pron. 任何人
n. 重要人物"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
[计] 时钟"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
passenger,"n. 乘客, 旅客
[经] 乘客, 旅客"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
text,"n. 文本；教科书；文档；剧本
v. （用手机给某人）发短信
[网络] 文字；设定本关任务；项目文本"
text message,"n. 文本信息；短信息
[网络] 简讯；手机短信；文本传递"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
a couple of,"一对..., 三两个..."
actually,"adv. 事实上, 竟然, 如今, 现在"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
be worried about,为…着急
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
[经] 企业, 商业, 营业"
on business,因公
sofa,n. 沙发
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
[计] 空"
unable,"a. 不能的, 不会的
[法] 无能力的, 无资格的, 没有办法的"
all day long,整天
burn,"v. 烧伤；燃烧；烫伤；烧着
n. 烧伤；烫伤；灼伤；烧（或烫、灼）的痕迹
[网络] 够丢人；燃烧的棕榈"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
[计] 任务"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
exhibition,"n. 表现, 展览会, 展览品
[医] 投药, 展览, 展出"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
[计] 规则, 水线"
against the rules,[网络] 违反规定；犯规；违反规则
in trouble,"处于不幸中, 在监禁中"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
rope,"n. 绳索；粗绳；线缆；圈绳
v. 用绳子捆（或绑、系）；用绳子系牢；捆紧；用套索抓捕（动物）
[网络] 夺魂索；挂绳圆珠笔；主绳"
entry,"n. 登录, 条目, 进入, 入口, 报关
[计] 登录项, 输入项, 条目"
No entry,[网络] 禁止进入；不准驶入；不准入内
no good,"na. 没用；〔美口〕不好
[网络] 反对；没有好成果；稀松"
no wonder,[网络] 难怪；怪不得；我是船长
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉
n. (Missing)人名；(德)米辛"
downstairs,"na. 在房子最下层；在地下室；在仆人房间；做着底下人工作
[网络] 在楼下；下楼；楼下的"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
communications,"n. 交通设施, 通讯系统"
physics,"n. 物理学, 物理过程, 物理现象
[化] 物理; 物理学"
chemistry,"n. 化学, 化学过程
[化] 化学"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
[计] 数字, 数位"
coal,"n. 煤；煤炭；木炭；〔美国〕(一堆)烧红的煤
v. (给…)上煤；(把…)烧成炭
[网络] 详情"
energy,"n. 精力, 精神, 活力, 能量
[化] 能; 能量"
X-ray,"a. X射线的
vt. 用X光检查, 照X光
vi. 使用X光"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
[计] 控制; 控制器"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
compare ... with ...,"比较…,跟…相比,比得上…"
of all ages,古往今来的(事情);老老少少的(人)
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
[计] 发牌"
exam,abbr. examination；examine；examined
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
guitar,n. 吉他
instrument,"n. 工具, 手段, 仪器
[化] 仪器"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
get into the habit of ...,养成...的习惯
schoolwork,"n. 功课
[网络] 学校到职场"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
necessary,a. 必要的；必然的；必需的
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
instead,"adv. 作为替代, 反而"
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
community,"n. 社区, 公众, 共有, 共同体
[经] 公众, 共有, 社会"
knowledge,"n. 知识, 学问, 认识, 知道"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
consider,"v. 考虑, 思考, 认为"
last word,"最后一句话, 定论, 最新形式, 最后决定权, 最新品种
[法] 最后一句话, 最后决定权, 决定性的说明"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
angry,"a. 生气的, 愤怒的"
no longer,"na. 已不
[网络] 不再是"
be angry with sb.,对(某人)生气
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
truth,"n. 事实, 实情
[法] 真实, 真相, 事实"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
honest,"a. 诚实的, 坦直的, 可靠的"
apologise,vi. 道歉（等于apologize）
bill,"n. 法案；账单；喙；海报
v. 开账单；把（某人或事物）宣传为…；宣布…将做某事
[网络] 比尔"
pocket money,"n. 零用钱；常用于英式英语
[网络] 零花钱；口袋理财专家；掌中钱包"
discuss,"vt. 讨论, 论述
[医] 讨论, 辩论"
thinker,"n. 思想者, 思想家"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
[计] 教育信息系统"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
[计] 阅读; 检测"
make sense,有意义
by the way,na. 见 way 条
suppose,"vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想
conj. 假使…结果会怎样"
well-known,"a. 众所周知的, 有名的"
adventure,"n. 冒险, 冒险经历
v. 冒险"
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
[网络] 陷入困境；陷入麻烦；惹上麻烦"
run away,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
for a time,"暂时, 一度"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
funeral,"n. 葬礼, 出殡"
surprised,"adj. 感到惊讶的，出人意料的
v. 使惊奇（surprise的过去分词形式）"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
southern,"adj. 南的；南方的
n. 南方人
n. (Southern)人名；(英)萨瑟恩"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
[计] 状态"
pay for,付...款
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式"
everyday,"na. 每日
[网络] 每天；每日便利"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
[计] 存储器, 内存, 查看内存实用程序"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
decision,"n. 决策；抉择；果断；决断（力）
[网络] 决定；深思熟虑的决定"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
noon,"n. 正午, 中午, 全盛期"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
no way,"na. 无论如何不
[网络] 不行；不可能；没门"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
sportsman,"n. 运动员, 冒险家"
high jump,"na. 跳高
[网络] 倍高度跳；弹力超人；高速移动"
ability,"suf. [用于构成名词, 意义相当于-able]表示“能力”, “可能性”, “倾向性”, “适宜性”"
hurdling,n. 跳栏赛跑
sportswoman,n. 女运动员
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
[计] 录制, 记录"
method,"n. 方法, 办法, 条理, 秩序
[医] [方]法"
hurdles,n. 障碍( hurdle的名词复数 ); 跳栏; （供人或马跳跃的）栏架; 跨栏赛
