define,"vt.定义,详细说明"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
assume,"vt.假定,设想,采取,呈现"
speculate,"vi.推测,思索,做投机买卖"
hypothesis,n.假设
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
presumably,"adv.推测起来,大概"
bet,"n.赌,打赌v.赌,赌钱"
protect,vt.保护 /n.保护/解除
prevent,"v.防止,预防"
prevention,"n.预防,防止"
security,n.安全
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
insecurity,"n.不安全,不安全感"
insurance,"n.保险,保险单,保险业,保险费"
insure,vt.给...保险v.确保
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
guardian,"n.护卫者,保护人,监护人adj.守护的"
conservation,"n.保存,保持,守恒"
immune,adj.免疫的
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
rescue,"vt.援救,营救n.援救,营救"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
measurable,adj.可测量的
figure,
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
statistic,"n.统计量adj.统计的,统计学的"
statistical,"adj.统计的,统计学的"
statistician,"n.统计员,统计学家"
populate," 板上组装;v.使人民居住,移民"
census,n.人口普查
quantity,"n.量,数量"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
expose,"vt.使暴露,受到,使曝光v.揭露"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
reveal,"vt.展现,显示,揭示,暴露"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
unfold,"vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏"
leakage,"n.漏,泄漏,渗漏"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
confide,"v.倾诉,委托,信赖"
drop,"v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
enforcement,"n.执行,强制"
enforce,"vt.强迫,执行,坚持,加强"
compel,"vt.强迫,迫使"
compulsive,"adj.强制的,强迫的,由强迫产生的,禁不住的"
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址"
director,"n.主任,主管,导演,(机关)首长,(团体)理事,(公司)董事,指挥仪,控制器"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
instruction,"n.指示,用法说明(书),教育,指导,指令"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
guidance,"n.指导,领导"
guideline,n.方针
spread,"n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布"
widespread,"adj.分布广泛的,普遍的"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
scatter,"v.分散,散开,撒开,驱散"
sow,"n.大母猪vt.播种,散布,使密布vi.播种"
communication,"n.传达,信息,交通,通讯"
response,"n.回答,响应,反应"
expression,
expressive,"adj.表现的,表达...的,有表现力的,富于表情的"
debate,"v.争论,辩论n.争论,辩论"
interaction,"n.交互作用,交感"
interact,"vi.互相作用,互相影响"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
feedback,"n.[无]回授,反馈,反应"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
interpersonal,"adj.人与人之间的,关于人与人之间关系的"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
replace,"vt.取代,替换,代替,把...放回原处"
behalf,"n.为,利益"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
representative,"n.代表adj.典型的,有代表性的"
switch,"n.开关,电闸,转换vt.转换,转变"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
agent,n.代理(商)
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
spare,"adj.多余的,剩下的,高而瘦的人的,少量的,贫乏的,备用的v.节约,节省,不伤害,宽恕,分让,提供给某人"
competition,"n.竞争,竞赛"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
contend,"v.斗争,竞争,主张"
contention,"n.争夺,争论,争辩,论点"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
container,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
constitute,"vt.制定(法律),建立(政府),组成,任命"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
consist,"vi.由...组成,在于,一致"
limited,"adj.有限的,狭窄的,缺乏创见的n.高级快车"
restriction,"n.限制,约束"
restrict,"vt.限制,约束,限定"
restrictive,adj.限制性的
constraint,"n.约束,强制,局促"
constrain,"vt.强迫,抑制,拘束"
bind,"v.绑,镶边,装订,凝固,约束"
finite,"adj.有限的,[数]有穷的,限定的"
promise,"vt.允诺,答应n.允诺,答应,许诺"
promising,"adj.有希望的,有前途的"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
commitment,"n.委托事项,许诺,承担义务"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
edition,"n.版本,版"
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
review,"vt.回顾,复习n.回顾,复习,评论"
reviewer,"n.批评家,评论家"
cite,"vt.引用,引证,提名表扬"
modify,"vt.更改,修改v.修改"
modification,"n.更改,修改,修正"
revise,"vt.修订,校订,修正,修改"
newsroom,"n.编辑部,阅览室"
column,"n.圆柱,柱壮物,专栏,纵队"
amendment,"n.改善,改正"
mend,"n.改进,改良,补丁,修理部分,好转vt.修改,改进,加快,修理,修补vi.好转,改善,改正"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
complementary,"adj.补充的,补足的"
merger,"n.合并,归并"
blend,vt.混和n.混和
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
separation,"n.分离,分开"
divide,"v.分,划分,分开,隔开,"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
divorce,"n.离婚,脱离vt.使离婚,与...脱离"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
strip,"vt.剥,剥去n.条,带"
disconnect,"v.拆开,分离,断开"
strategy,"n.策略,军略"
strategic,"adj.战略的,战略上的"
budget,"n.预算vi.做预算,编入预算"
agenda,n.pl.议程
mission,"n.使命,任务,使团,代表团"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
immigration,"n.外来的移民,移居入境"
migration,"n.移民,移植,移往,移动"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
convey,"vt.搬运,传达,转让"
transition,"n.转变,转换,跃迁,过渡,变调"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
transportation," /n.运)n/n.运输,运送"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
carrier,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰n.[电]载波(信号)"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
journey,"n.旅行,旅程v.旅行"
mobility,"n.活动性,灵活性,迁移率,机动性"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类 发送,发行"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
allocation,"n.分配,安置"
appointment,
appoint,"vt.约定,指定(时间,地点),任命,委任"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
evade,"v.规避,逃避,躲避"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
retreat,"vi.撤退,退却n.撤退,退却"
fulfill,"vt.履行,实现,完成(计划等)"
fulfillment,"n.履行,实行"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
engagement,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
engaged,"adj.忙碌的,使用中的"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
implementation,n.执行
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
operational,"adj.操作的,运作的"
operative,"adj.运转着的,有效验的,手术的,实施的"
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
exploitation,"n.开发,开采,剥削,自私的利用,宣传,广告"
practitioner,"n.从业者,开业者"
slave,n.奴隶v.辛勤努力
slavery,"n.奴隶身分,奴隶制度,苦役,束缚"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
passive,adj.被动的
submit,"v.(使)服从,(使)顺从vt.提交,递交"
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
shut,"v.关上,闭上,关闭"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
demonstrate,"vt.示范,证明,论证vi.示威"
demonstration,"n.示范,实证"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
symptom,"n.[医][植]症状,征兆"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
projection,n.发射
depict,"vt.描述,描写"
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳"
stuck, vbl.stick的过去式和过去分词
attach,"vt.缚上,系上,贴上v.配属,隶属于"
stability,n.稳定性
adhere,"vi.粘附,胶着,坚持v.坚持"
stationary, 固定的
examine,"v.检查,调查,考试"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
investigation,"n.调查,研究"
investigate,"v.调查,研究"
inquiry,"n.质询,调查"
proof,"n.证据,试验,考验,[印刷]校样adj.不能透入的,证明用的,防...的,有耐力的vt.检验,校对,使不被穿透"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
scrutiny,n.详细审查
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
inspection,"n.检查,视察"
excavation,"n.挖掘,发掘,挖掘成的洞,出土文物"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
recall,"vt.回忆,回想,记起,取消n.召回"
reminder,"n.提醒的人,暗示"
memorize,"v.[亦作memorise] 记住,记忆"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
abandon,"vt.放弃,遗弃;n.放任,狂热"
discard,"vt.丢弃,抛弃v.放弃"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
disposable,adj.可任意使用的
cooperate,"vi.合作,协作"
cooperation,"n.合作,协作"
collective,adj.集体的n.集体
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
collaborative,"adj.合作的,协作的,协力完成的"
mutual,"adj.相互的,共有的"
alliance,"n.联盟,联合"
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
defendant,"n.被告adj.辩护的,为自己辩护的"
defense,
confront,"vt.使面临,对抗"
confrontation,"n.面对,面对面,对质"
resistant,"adj.抵抗的,有抵抗力的"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
withstand,"vt.抵挡,经受住"
destroy,"vt.破坏,毁坏,消灭v.消灭,摧毁"
destruction,"n.破坏,毁灭"
ruin,"v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹"
undermine,v.破坏
disruptive,"adj.使破裂的,分裂性的"
devastating,"adj.破坏性的,全然的"
prison,n.监狱
imprison,"vt.监禁,关押v.监禁"
confine,"vt.限制,禁闭n.界限,边界"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
privacy,"n.独处而不受干扰,秘密"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
absorb,"vt.吸收,吸引"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
integrity,"n.正直,诚实,完整,完全,完整性"
integration,n.综合
integrated,"adj.综合的,完整的"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
assimilation,"n.同化,同化作用,消化"
assimilate,v.吸收
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
enrollment,"n.登记,注册,入伍,入会,入学"
inject,"vt.注射,注入"
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
duplication,"n.副本,复制"
clone,"n.无性系,无性繁殖,克隆v.无性繁殖,复制"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
predator,"n.掠夺者,食肉动物"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
hack,v.砍n.出租
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
downgrade,"n.下坡,退步adj.下坡的,使降级,小看"
