arroyo,"n. 干涸沟壑, 旱谷, 小河"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
whirlpool,"n. 漩涡, 涡流
[化] 涡流"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
[计] 层叠, 级联"
crag,"n. 峭壁, 危岩
[建] 岩石碎块"
estuary,"n. 河口, 港湾"
gulch,"n. 地沟, 冲沟"
knoll,"n. 小山, 圆丘
vt. 敲钟
vi. 敲响"
lagoon,"n. 环礁湖, 近海岸的浅水区, 泻湖, 咸水湖"
moor,"n.荒野；旷野
Moor: 摩尔人.
v.系住；停泊"
morass,"n. 沼泽, 困境, 乱糟糟的一堆"
quagmire,"n. 沼泽地, 泥坑, 泥潭, 泥沼, 沼泽, 困境"
scarp,"n. 悬崖
vt. 使成陡坡"
tundra,"n. 苔原, 冻原"
arid,"a. 干燥的, 不毛的"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
balmy,"a. 芳香的, 温和的, 止痛的
[化] 香脂气味的"
barometer,"n. 气压计
[化] 气压计"
blast," 表示胚(芽),胚胎,胚层,细胞,原基：idioblast, splanchnoblast(内脏原基)"
diurnal,"a. 每日的, 一日间的, 白天的
[医] 昼现的(丝虫), 昼间的"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
blizzard,"n. 大风雪, 暴风雪"
bluster,"vt. 风狂吹, 咆哮, 汹涌
vi. 咆哮着说出, 恐吓
n. 狂风声, 巨浪声, 夸口, 大话"
centigrade,"a. 百分度的, 摄氏的
[医] 百分度"
cloudburst,"na. 倾盆大雨
[网络] 暴雨；倾盆雨；风暴"
cumulus,"n. 积云, 堆积物
[医] 丘"
cyclone,"n. 龙卷风, 暴风
[化] 旋流(分离,除尘)器"
damp,"氨苄西林,氨苄青霉素"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
desiccate,"vt. 使干, 干贮
vi. 变干"
downpour,(塔盘)降液
drizzle,"n. 细雨
v. 下毛毛雨"
drizzly,a. 下毛毛雨的
drought,"n. 干旱, 缺乏"
frigid,"a. 寒冷的, 严寒的, 冷淡的
[医] 寒冷的, 冷淡的, 性感缺失的"
frigidity,"n. 寒冷, 冷淡
[医] 寒冷, 冷淡, 性感缺失"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
[医] 冰的, 冰样的"
gust,"n. 突然一阵, 趣味, 爱好"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
halo,"n. 晕轮, 光圈, 晕状物, 荣光
vt. 使有晕轮, 围以光环
vi. 成晕轮"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humidity,"n. 湿气, 潮湿, 湿度
[计] 湿度"
hurricane,"n. 飓风, 暴风, 暴风雨"
icicle,"n. 垂冰, 冰柱, 冷冰冰的人"
inclement,"a. 险恶的, 严酷的"
landslide,"滑坡,坍坡,土崩;崩坍"
meteorology,"n. 气象学, 气象状态
[医] 气象学"
monsoon,"n. 季风, 吹季风的季节, 雨季"
perishing,"a. 使人痛苦的, 致命的, 讨厌的, 糟糕的"
piercing,"a. 尖厉的, 刺耳的, 刺骨的, 刺穿的, 敏锐的, 彻骨的, 辛辣的, 讽刺的
[化] 冲孔"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
[化] 析出"
seismic,a. 地震的
snowdrift,(为风所吹集的)雪堆
stuffy,"a. 闷热的, 窒息的, 乏味的, 固步自封的, 自以为是的"
sultry,"a. 闷热的, 粗暴的, 放荡的, 激烈的"
sweltering,"a. 闷热的, 热得难受的, 中暑的"
tempest,"n. 暴风雨, 骚动
vt. 使受大风暴影响, 使骚动, 使激动"
tornado,"n. 旋风, 龙卷风, 大雷雨"
tremor,"n. 震动, 颤动
[医] 震颤"
zephyr,"n. 西风, 和风, 徐风"
aureole,"n. 光轮, 光环"
aurora,"n. 曙光, 极光, 奥罗拉(曙光女神)
[电] 极光"
gale,"n. 狂风, 大风, 定期租金
[经] 地租, 年金"
gloaming,"n. 夕幕, 黄昏, 薄明"
leeward,下风边
mistral,n. 密史脱拉风
scorching,"a. 灼热的, 激烈的
[化] 焦烧; 过早硫化"
sizzler,"n. 极烫的东西, 炎热天"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
torrid,"a. 晒热的, 酷热的, 炎热的"
typhoon,n. 台风
vernal,"a. 春天的, 和煦的, 青春的"
hibernal,"a. 冬天的, 寒冷的"
gusty,"a. 刮风的, 阵阵猛急的, 突发的, 津津有味的"
down-to-earth,无
abut,"v. 邻接, 毗邻"
adjacent,"a. 毗连的, 邻近的, 连接的
[机] 相邻的, 邻位的, 交界的"
antarctic,"a. 南极的, 南极地带的
n. 南极地区"
archipelago,"n. 群岛, 多岛屿的海"
arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
bog,"n. 沼泽
vt. 使陷于泥沼
vi. 陷于泥沼"
contiguous,"a. 邻近的, 接近的
[医] 接触的"
coterminous,adj. 相连的；毗连的（等于conterminous）
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
delta,"n. 三角洲, 希腊字母的第四个字
[医] δ(希腊文的第四个字母), 丁种, 三角, 三角形区"
doldrums,"n. 忧郁, 赤道无风带"
domain,"n. 领域, 领土, 产业, 范围
[计] 域, 区域, 支配命令"
equator,"n. 赤道
[医] 赤道, 中纬线"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
[计] 水平"
landlocked,受陆地包围的
latitude,"n. 纬度, 范围
[化] 宽容度; 伟度"
outskirts,[网络] 外裙
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
hinterland,"n. 内地, 腹地, 偏僻地区
[经] 腹地"
littoral,"a. 海滨的, 湖岸的, 沿海的
n. 沿海地, 沿海地区"
chasm,"n. 陷窟, 裂口"
ambience,"n. 周围环境, 气氛"
obsidian,n. 黑曜石
savanna,n. 热带草原
adobe,"n. 风干土坯
[化] 风干砖; 土砖; 灰质粘土; 多孔粘土"
aquifer,[化] 含水层
bauxite,"n. 铝矾土, 铝土矿
[化] 铝土矿"
boulder,"n. 大圆石
[机] 圆石, 漂石"
brink,"n. 边缘, 陡岸"
clay,"n. 泥土, 肉体, 黏土
[化] 粘土"
dune,[网络] 沙丘
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
[计] 故障"
ferrous,"a. 铁的, 含铁的, 亚铁的
[医] 亚铁的"
fissure,分裂术
gem,[计] GEM元文件
granite,"n. 花岗岩
[化] 花岗岩"
graphite,"n. 石墨
[化] 石墨"
gravel,"n. 砂砾, 碎石
[医] 沙砾, 尿沙"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
gully,"n. 小峡谷, 排水沟"
lava,"n. 熔岩, 火山岩
[医] 火山石(一种顺势疗法药)"
limestone,[机] 石灰石
lode,"n. 矿脉, 水路, 排水沟"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
ore,[网络] 那不勒斯之王
petroleum,"n. 石油
[化] 石油"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
rhinestone,n. 莱茵石
sapphire,"a. 天蓝色的
n. 蓝宝石, 刚玉宝石, 天蓝色"
shale,n. 页岩
silt,"n. 淤泥
vt. 使淤塞
vi. 淤塞"
slag,"n. 熔渣, 矿渣, 无足轻重的人
vt. 使变成熔渣
vi. 变熔渣"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
turquoise,"n. 绿松石, 绿松石色"
amethyst,"n. 紫水晶, 紫蓝色宝石
[化] 紫石英; 紫水晶; 紫晶"
emerald,"n. 翡翠, 绿宝石, 翠绿色
a. 翡翠的, 翠绿色的"
rubble,"n. 粗石, 碎砖, 粗石堆"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aloft,"adv. 在高处, 在上"
apogee,"n. 远地点, 最高点, 极点
[化] 远地点; 远核点"
constellation,"n. 星座, 荟萃
[化] 构象"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
[医] 宇宙的"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
[医] 大波斯菊"
empyreal,"a. 最高天的, 九天的, 苍天的"
ethereal,"a. 轻的, 飘渺的, 天上的
[医] 醚制的, 挥发性的"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
[电] 银河系"
lunar,[地名] 卢纳河 ( 巴西 )
meteoric,"a. 流星的, 疾速的, 大气的"
nova,"n. 新星
[计] 诺瓦计算机"
observatory,"n. 天文台, 气象台, 了望台"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
sidereal,"a. 星的, 恒星的, 恒星引起的, 根据星球运行测定的"
spatial,"a. 空间的, 受空间条件限制的, 占地位的
[医] 隙的, 间隙的, 腔的; 空间的, 立体的"
stellar,"a. 星的, 似星的, 星球的, 主要的"
supernova,[网络] 超级新星智能科技有限公司；超新星；超级星球
aeronautics,"n. 航空学, 飞行术
[机] 航空学"
empyrean,"n. 最高天, 九天, 苍天"
celestial,"a. 天的, 天国的, 天空的
[法] 天的, 天空的, 天国的"
horoscope,"n. 星占, 算命天宫图"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
agglomerate,集块岩
aggrandize,"vt. 增加, 夸大"
airborne,"[经] 空运的, 非机上的"
axis,n. 轴；轴线；轴心国
axle,"n. 轴, 车轴
[电] 轴"
band,[网络] B提供住宿及早餐；连接两个并列成份
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
buoyant,"a. 有浮力的, 心情愉快的
[经] 降而复升的, 保持高价的, 遂之而升的"
chafe,"n. 擦伤, 气恼
v. 摩擦, 擦痛, 激怒"
circuit,"n. 电路, 环(行)道, 巡回
[计] 线路; 电路"
cord,"n. 绳索, 束缚
[医] 索, 带"
cryogenic,"a. 低温学的
[医] 降温的, 产低温的"
decibel,"n. 分贝
[计] 分贝"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
dynamo,"n. 发电机
[医] 电机, 发电机"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
friction,"n. 摩擦, 摩擦治疗, 不和
[医] 摩擦"
gallon,"n. 加仑
[医] 加仑"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
generator,"n. 产生器, 发电机, 生产者
[计] 发生器"
gravitational,a. 重力的
lumen,"n. 流明, 腔
[医] 腔, 流明(光通单位)"
nucleus,环
odometer,n. 里程表
quantum,"n. 量, 量子
[计] 量子"
refraction,"n. 折光, 折射
[医] 折射, 屈光"
resound,[网络] 再发声
sextant,n. 六分仪
spectrum,"n. 光谱, 范围, 系列
[化] 光谱"
thermal,[网络] 热的
velocity,"n. 速度, 迅速
[化] 速度"
carat,"n. 克拉
[化] 开; 克拉(宝石、金刚石重量单位,等于0.2克)"
centrifugal,"a. 离心的
n. 离心机, (离心机的)转筒"
centripetal,"a. 向心的
[医] 向心的, 向中的, 求中的"
assay,"n. 试验, 化验, 分析
vt. 化验, 分析, 评价, 尝试
vi. 被验明内含成分"
inelasticity,"n. 无弹力, 生硬, 不适应性
[化] 非弹性"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
mechanical,"a. 机械的, 机械性的, 力学的
[医] 机械的, 力学的"
metrical,a. 测量的；韵律的；有韵律的
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
resilience,"n. 弹回, 有弹力, 恢复力
[化] 回弹; 弹性; 弹回性; 回能; 弹能"
tensile,"a. 可拉长的, 可伸长的, 张力的, 拉力的
[机] 拉的"
trajectory,"n. 轨道, 弹道, 轨线
[化] 轨道"
rake,"n. 耙子, 钱耙, 斜度, 浪子
v. 搜索, 掠过, (用耙子)耙, (使)倾斜"
rotundity,"n. 圆形, 圆形物, 圆润"
sonic,"a. 音波的, 音速的, 声音的
[电] 音波"
reflective,"a. 反射的, 反映的, 沉思的"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
[化] 强度"
mechanics,[网络] 技工；修车行
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
torque,"n. 扭转力, 转矩, 项圈
[化] 转矩"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
alchemy,"n. 炼金术, 魔力
[化] 炼丹术; 炼金术; 金丹术"
alkali,"n. 碱
a. 碱性的"
aluminium,铝
amalgam,"n. 汞合金, 汞齐
[化] 汞齐; 汞合金"
analyze,"vt. 分析, 细察, 分解
[机] 分析"
bromide,"n. 溴化物, 庸俗的人
[化] 溴化物"
calcium,"n. 钙
[化] 钙Ca"
carbohydrate,"n. 碳水化合物, 糖类
[化] 糖类; 碳水化合物"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
[计] 催化剂"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
coagulant,"n. 凝结剂
[化] 凝结剂"
coagulate,"v. (使)凝结
a. 凝结的"
coagulation,"n. 凝结, 凝结物
[化] 聚沉; 凝结作用; 凝聚法"
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
compost,"n. 混合物, 堆肥
vt. 施堆肥于"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
congeal,"v. (使)冻结, (使)凝结"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
curdle,"vt. 使凝结, 使凝固, 使变质
vi. 凝结, 凝固, 变质"
decomposition,"n. 分解, 腐败, 变质
[化] 分解; 裂解"
defoliator,"n. 除叶剂, 食叶之昆虫"
dehydrate,"vt. (使)脱水
[医] 脱水, 去水"
deleterious,"a. 有害的, 造成伤害的
[医] 有害的"
detergent,"n. 清洁剂
[化] 洗涤剂"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
disinfectant,"a. 消毒的, 杀菌的
n. 消毒剂, 杀菌剂"
dissolve,"v. 溶解, 解散"
distill,"vt. 蒸馏
vi. 滴下"
emollient,"a. 使柔软的
n. 软化剂, 润肤剂"
emulsify,"vt. 使乳化
[医] 乳化"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
ferment,"n. 酵素, 发酵, 动乱
v. (使)发酵, (使)动乱"
fermentation,"n. 发酵
[化] 发酵"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
[计] 过滤器, 筛选"
flammable,"a. 易燃的, 可燃性的
[电] 可燃的"
gasification,n. 气化
germicide,"n. 杀菌剂
[化] 杀菌剂"
herbicide,"n. 除草剂
[化] 除草剂"
hydrate,"n. 水合物, 水化合物, 氢氧化物
vt. 使成水化合物"
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
inhibitor,"n. 禁止者, 抑制人, 抑制物, 抑制因素, 抑制剂, 阻化剂
[计] 禁止器, 抑制剂"
insecticide,"n. 杀虫剂
[化] 杀虫剂"
insoluble,"a. 不能溶解的, 不能解决的
[医] 不溶解的"
iodine,"n. 碘, 碘酒
[化] 碘I-2"
isotope,"n. 同位素
[化] 同位素"
leaven,"n. 酵母, 促使渐变的因素
vt. 使发酵, 渐变"
liquefy,"v. (使)溶解, (使)液化"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
molecule,"n. 分子, 些微
[化] 分子"
molten,"a. 熔化的, 炽热的, 铸造的
melt的过去分词"
mote,"n. 尘埃, 微粒"
neutron,"n. 中子
[化] 中子"
nonradioactive, [医]非放射（性）的
noxious,"a. 有害的, 有毒的, 使道德败坏的
[医] 有害的, 有毒的"
ointment,"n. 软膏, 油膏
[化] 软膏; 药膏"
ossify,"vt. 使骨化, 使硬化, 使僵化
vi. 骨化, 硬化, 变得极端保守"
oxidize,"vt. 使氧化, 使生锈
vi. 氧化"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
pesticide,"n. 杀虫剂
[化] 农药"
pigment,"n. 色素, 色质, 颜料
[化] 颜料"
precipitant,"a. 突如其来的, 勇往直前的, 急促的, 径直向下的
n. 沉淀剂"
preservative,"a. 有助于保存的, 有保存力的
n. 预防药, 防腐剂"
reactant,"n. 反应物
[化] 反应物"
saccharin,"n. 糖精
[化] 糖精; 邻磺酰苯甲酰亚胺"
soluble,"a. 溶解的, 可溶解的, 可以解决的
[医] 溶解的, 可溶的"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
toxin,"n. 毒素
[化] 毒素"
vaporization,"n. 蒸发, 汽化
[化] 汽化"
vaporize,v. (使)蒸发
yeast,"n. 酵母
[化] 酵母"
defoliant,"n. 脱叶剂, 落叶剂
[化] 脱叶剂"
desalinize,"v. 除去盐分, 淡化海水"
icing,"n. 糖衣, 结冰"
miscellany,"n. 杂集, 杂录, 混杂"
saliferous,a. 含盐的
nicotine,"n. 烟碱, 尼古丁
[化] 烟碱; 尼古丁"
herpetologist,n. 爬虫学者
ornithologist,n. 鸟类学者
anthropoid,"n. 类人猿
a. 似人的"
caterpillar,"n. 毛虫
[机] 履带车"
gaggle,"n. 鹅群, 一群, 嘎嘎叫声
vi. 嘎嘎地叫"
amphibian,"a. 两栖类的, 水陆两用的
n. 两栖动物, 水旱两生植物, 水陆两用飞机"
antenna,"n. 天线, 触须, 触角
[化] 天线"
badger,"n. 獾, 獾皮毛
vt. 纠缠"
biped,"n. 两足动物
a. 有两足的"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
canary,"n. 金丝雀, 淡黄色"
canine,"n. 犬齿, 犬
a. 犬的, 似犬的, 犬科的"
carapace,"n. 甲壳, 壳
[医] 甲, 甲壳, 介"
carnivorous,"a. 食肉的
[医] 食肉的"
carp,na. 表示“果实”
centaur,"n. 半人半马的怪物, 半人马座"
chameleon,"n. 美洲变色蜥蜴, 善变的人
[医] 避役属(蜴蜥之一属)"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
[医] 嵌合体"
chipmunk,n. 金花鼠
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
cocoon,"n. 茧
[医] 茧"
cohabit,vi. 同居（尤指未婚而同居者）
cougar,n. 美洲狮
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
croak,"n. 呱呱叫声, 哇哇声
vi. 呱呱地叫, 发牢骚
vt. 用嘶哑的声音说"
cub,"n. 幼兽, 年轻人"
den,[网络] 密度；二选一；轧制面
dormancy,"n. 不活动性, 休眠, 蛰伏
[医] 休眠, 不活动, 休止"
dormant,"a. 睡眠状态的, 静止的
[医] 休眠的, 不活动的, 休止的"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
[计] 向下, 退下命令"
drove,"n. 畜群
drive的过去式"
duckling,n. 小鸭子
equine,"n. 马
a. 马的, 象马的"
ewe,n. 母羊
falcon,"n. 隼, 猎鹰"
fang,"n. 尖牙, 犬牙
[医] 牙根, 尖牙, 蛇类毒牙"
fawn,"n. 小鹿
vi. 摇尾乞怜, 奉承"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
ferret,"n. 白鼬, 雪貂, 侦探
vt. 用雪貂打猎, 搜出, 驱出
vi. 搜索"
filly,"n. 小雌马, 小姑娘"
firefly,萤火虫
fledge,"vt. 喂养, 用羽毛盖上, 装上羽毛
vi. 长羽毛"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
flounder,"vi. 挣扎, 折腾；错乱地做事或说话"
gadfly,[医] 虻
generic,"a. 属类的, 一般的
[计] 一般的"
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
grouse,"n. 松鸡, 牢骚
vi. 埋怨"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
herbivorous,"a. 食草的
[医] 草食的, 食草的"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
hibernate,"vi. 过冬, 冬眠, 避寒"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
[计] 蜂巢"
hoof,"n. 蹄, (人的)脚
vt. 以蹄踢, 行走, 步行
vi. 走, 踢, 踏"
incubate,"vt. 孵, 培养, 使发展
vi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿
n. 孵育物"
incubation,"n. 抱蛋, 孵化, 酝酿
[医] 孵育, 孵化, 潜伏, 宿庙求梦(古希腊)"
inhabitant,"n. 居民, 居住者
[医] 居民"
invertebrate,"a. 无脊椎的, 无骨气的
n. 无脊椎动物, 无骨气的人"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
jade,"n. 玉, 翡翠, 老马
a. 绿色的, 玉制的
v. (使)疲倦"
kangaroo,"n. 袋鼠
[医] 袋鼠(澳洲产)"
kennel,"n. 狗舍, 狗屋, 阴沟
vt. 置于狗舍, 宿于狗舍
vi. 进狗窝"
larva,"n. 幼虫
[医] 幼虫(昆虫), 蚴(蠕虫)"
low,"adv. 低；低矮；在低处；往下地
n. 低地；(汽车等的)低速；低速齿轮；哞
adj. 低沉的；低垂的；西斜的；耷拉着
v. (牛)哞哞地叫；(牛叫似地)说
[网络] 低的；矮的；最低价"
magpie,"n. 鹊, 珍种家鸽, 饶舌的人
a. 鹊的, 有收集癖的"
mammal,"n. 哺乳动物
[化] 哺乳动物"
mare,abbr. Marine Engineer
marsupial,"n. 有袋类动物
a. 有袋的, 袋状的"
minnow,n. 鲤科淡水小鱼
mite,"n. 尽绵薄之力的捐献, 细微, 微少, 螨
[医] 螨"
molt,"n. 换毛, 脱皮, 脱落物
v. 脱毛, 换毛"
mongrel,"n. 杂种, 杂种狗, 混血儿
a. 杂种的, 混血儿的"
mosquito,"n. 蚊子
[医] 蚊"
ornithology,n. 鸟类学
ostrich,n. 鸵鸟
otter,"n. 水獭, 水獭皮"
owl,[网络] 普通水位；普通巫术等级
pack,comb.form 表示“(瓶、罐头等)一箱”
panther,"n. 豹, 黑豹, 美洲豹"
parasite,n. 寄生虫；食客
pen,[网络] 国际笔会
pest,[=proestrue]动情前期
phoenix,"n. 凤凰, 不死鸟, 死而复生的人, 完人, 殊品"
plankton,"n. (总称)浮游生物
[医] 浮游生物"
plume,"n. 羽毛, 羽毛装饰, 羽状的
vt. 用羽毛装饰, 整理羽毛, 使成羽毛状"
porcupine,n. 豪猪
predator,"n. 食肉动物, 掠夺者
[医] 捕食者"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
primate,"n. 大主教, 灵长目动物
[医] 灵长类"
pullet,n. 小母鸡
quarry,"n. 采石场, 方形石, 猎物, 被追求物, 来源
vt. 挖出, 努力挖掘
vi. 费力地找"
ram,[计] RealAudio元文件
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
reptilian,"a. 爬虫类的, 像爬虫的, 卑鄙的
n. 爬行动物"
roe,"n. 狍, 鱼子, 鱼卵
[医] 鱼卵, 牝鹿"
ruminant,"a. 反刍类的, 沉思的, 默想的
n. 反刍动物"
salmon,"n. 鲑鱼, 大麻哈鱼
[医] 鲑"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
scorpion,"n. 蝎子, 心黑的人, 蝎尾鞭
[医] 蝎"
slough,"n. 泥沼, 沼泽, 蜕下的皮, 腐肉
vt. 使陷入泥沼, 使沉沦, 脱落, 抛弃
vi. 在泥浆中跋涉, 蜕皮, 脱落"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
