accustom,vt. 使习惯于
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
[计] 槽; 存储槽"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
[计] 字符串, 串"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
[计] 交换机；开关; 翻转; 转移"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
taper,"n. 带子操作工, 小蜡烛, 尖细, 渐弱, 锥形, 尖塔
a. 尖细的, 分等级的
v. (使)一头逐渐变细, (使)逐渐减少"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
utilize,vt. 利用
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
[医] 通风, 换气"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
aged,"a. 老的, 陈的, 有...岁的
[化] 老化的; 老化了的; 陈化的; 陈化了的"
air-conditioned,"(aircondition 的过去分词) v. 设以空气调节装置, 装冷气机于…"
airtight,"a. 气密的, 不透气的, 无懈可击的
[机] 气密, 不透气"
album,"n. 粘贴簿, 唱片套
[医] 白色物"
appliance,"n. 器械, 用具, 应用
[医] 矫正器; 器"
backyard,"n. 后院；后花园
[网络] 后院与店家；充满花香果香的后院；后院式"
balcony,"n. 阳台, 戏院楼厅"
band,"n. 带子, 队, 乐队
v. 联合, 结合
[计] 频带; 波段; 区"
banister,"n. 栏杆的支柱, 楼梯的扶栏"
basement,"n. 地下室, 墙脚
[化] 地下室"
battery,"n. 电池；炮组；炮列；【法】殴打
[网络] 电池灯；直流电源"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
[计] 珠"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
[计] 束"
belongings,"n. 财产, 所有物, 相关事物
[经] 财产, 所有物, 附属物"
blade,"n. 叶片, 刀锋, 刀口, 剑
[医] 页[片], 叶片, 刀片, 刀刃, 刀口"
boiler,"n. 煮器, 汽锅, 锅炉
[化] 锅炉"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
bookkeeping,"n. 簿记
[经] 簿记, 簿记学"
bookstall,n. 书报摊
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bungalow,n. 平房
calendar,"n. 日历, 日程表
vt. 列入表中
[计] 日历"
calorie,"comb. 表示""卡路里的""；adj"
cardigan,n. 卡迪根式开襟羊毛衫
cask,"n. 桶, 木桶
vt. 装入桶内"
cellar,"n. 地窖, 地下室, 藏酒"
chore,"n. 零工, 家务
[经] 零工"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
clamour,"n. 喧闹
v. 大声地要求"
closet,"n. 壁橱；贮藏室
adj. 隐藏（身份等）的；不公开（个人信息）的
v. 把…关在房间里（尤指为了私下会谈或避免他人打扰）
[网络] 衣橱；衣柜；小房间"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
cuff,"n. 袖口, 一巴掌
vt. 用巴掌打
vi. 殴斗"
cupboard,"n. 食橱, 碗柜, 餐具柜"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
detached,"a. 超然的, 分离的, 冷淡的
[法] 分遣的, 派遣的, 分离的"
detergent,"n. 清洁剂
[化] 洗涤剂"
dishwasher,"n. 洗碗机, 洗碗工"
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
dry-clean,"v. 干洗(衣服)
[网络] 一般干洗；一般乾洗"
dustbin, [医]垃圾箱
duster,"n. 掸子, 打扫灰尘的人"
dustman,"n. 清洁工人
n. (Dustman)人名；(英)达斯特曼"
dustpan,"un. 簸箕
[网络] 垃圾箱；箕宿"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
dwelling,"n. 住处
[医] 住房"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
[经] 房地产, 遗产, 财产"
firecracker,"n. 爆竹, 鞭炮
[化] 爆竹; 鞭炮"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
firstborn,"a. 第一胎生的
n. 初生儿, 长男, 长女"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
[计] 折叠; 合并"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
foodstuff,"n. 食品, 粮食"
funeral,"n. 葬礼, 出殡"
funnel,"n. 漏斗, 漏斗状的东西, 烟囱
[化] 漏斗"
gadget,"n. 小配件, 小玩意, 诡计"
garment,"n. 衣服, 衣装, 外表"
gauze,"n. 薄纱, 纱布, 金属网
[医] 纱布"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
glove,"n. 手套
vt. 给...戴手套"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
graveyard,n. 墓地
grime,"n. 尘垢, 煤尘, 污点
vt. 使污秽, 使...弄脏"
groom,"v. 培养；（给动物）擦洗；（给自己或其他动物）理毛；使做好准备
n. 马夫；马倌；马匹饲养员
[网络] 新郎；培训；格鲁姆"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
haircut,"n. 理发, (男子的)发式"
headlamp,"n. (汽车的)前灯, (矿工头上的)照明灯, 桅灯"
headlight,"n. 前灯, 桅灯
[电] 车前灯"
headset,"n. (一副)耳机
[电] 头载机组"
heating,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的"
high-rise,"a. 有多层的, 高楼的
n. 高楼, 大厦"
homely,"a. 家常的, 平凡的, 朴实无华的"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
honeymoon,"n. 蜜月, 蜜月假期
vi. 渡蜜月"
hood,"n. 罩；风帽；（布质）面罩；学位连领帽（表示学位种类）
v. 覆盖；用头巾包；使(马,鹰等)戴头罩；给…加罩
[网络] 胡德；兜帽；引擎盖"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
[化] 外壳"
illumination,"n. 照明, 阐明, 启发
[医] 照明, 映光"
infancy,"n. 幼年, 初期, 幼儿期
[医] 婴儿期(一足岁以内)"
inhabitable,"a. 可居住的, 可栖居的"
inhabitant,"n. 居民, 居住者
[医] 居民"
invitation,"n. 邀请, 请柬, 引诱
[经] 邀请, 招待, 吸引"
jar,"n. 缸；坛子；（玻璃）罐子；广口瓶
v. 受震动而疼痛；（对…）产生不快的影响；使烦躁；（与…）不协调
[网络] 文件"
kettle,"n. 茶壶, 罐
[化] 釜体釜; 锅"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子
n. (Lace)人名；(意)拉切"
lad,[=liver alcohol dehydrogenase]肝脏乙醇脱氢酶
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
[机] 洗衣作, 洗衣店, 洗衣房"
lavatory,"n. 洗脸盆, 厕所"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
livelihood,"n. 生计, 营生, 生活"
living-room,"客厅, 起居室"
loudspeaker,"n. 扩音器, 喇叭
[电] 扬声器"
make-up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
mansion,"n. 大厦, 宅邸"
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
mattress,"n. 床垫, 空气垫, 沉床
[医] 褥子, 床垫"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
[计] 维护操作协议"
napkin,"n. 餐巾, 餐巾纸, 尿布"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
nephew,"n. 侄子, 外甥"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
[医] 梦魇, 恶梦"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
[医] 损害, 讨厌"
nursery,"n. 托儿所, 苗圃, 温床
[医] 婴儿室, 托儿所"
offspring,"n. 子孙, 后代, 产物
[法] 后辈, 子孙, 后裔"
old-fashioned,"a. 旧式的, 过时的, 保守的, 大人模样的"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
[计] 弧体"
orphanage,"n. 孤儿院, 孤儿身份
[法] 孤儿身份, 孤儿, 孤儿院"
outskirts,"n. 近郊, 市郊"
pail,"n. 桶, 提桶"
paperweight,"n. 镇纸, 压纸物, 压纸器"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
[化] 摆"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
plume,"n. 羽毛, 羽毛装饰, 羽状的
vt. 用羽毛装饰, 整理羽毛, 使成羽毛状"
porch,"n. 门廊, 走廊"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
[医] 妊娠的, 有孕的"
pretence,"n. 假装, 虚伪, 借口, 自称, 要求
[法] 假装, 借口, 托词"
pretense,"n. 借口, 虚假, 伪装"
rating,"n. 等级, 额定功率, 责骂
[经] 等级评定"
removal,"n. 移动, 移居, 迁移, 排除, 切除
[医] 切除, 除去"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
repay,"v. 偿还, 报答, 报复"
repayment,"n. 付还, 偿还, 报复, 付还的钱
[经] 偿还, 付还"
residence,"n. 住宅, 居留, 驻扎, 居住期间
[医] 住房"
residential,"a. 住宅的, 与居住有关的
[法] 有关居住的, 房产的:居所的, 适于居住的"
reunion,"n. 团圆, 重聚
[医] 再连合, 复连[合]"
reunite,"vt. 使重聚；使再结合；使再联合
vi. 重聚；再结合；再联合"
satchel,"n. 书包, 小背包"
satin,"n. 缎子
a. 绸缎做的, 缎子一般的, 光滑的"
scalp,"v. 剥头皮
n. 头皮, 战利品"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
scissors,"pl. 剪刀
[医] 剪"
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
scorching,"a. 灼热的, 激烈的
[化] 焦烧; 过早硫化"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
seesaw,"n. 跷跷板, 跷跷板游戏, 起伏交替的动作
a. 上下或前后摇动的, 交互的
vi. 玩跷跷板, 上下或来回摇动
vt. 使上下或来回摇动"
settee,n. 长靠背椅
sewage,"n. 脏水, 污水
[医] 污水, 污物"
sewer,"n. 下水道, 阴沟, 裁缝师
vt. 用下水道排, 铺设下水道于"
sewerage,"n. 排水设备, 污水
[化] 污水"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
showcase,"n. 陈列橱
[经] 商品陈列所, 货物陈列架"
sideboard,"na. 餐具柜
[网络] 边板；侧板；边柜"
sieve,"n. 筛子, 滤网
vt. 筛, 滤"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
snug,"a. 舒适的, 温暖的, 整洁的, 紧身的, 隐藏的
vt. 使整洁干净, 使紧身, 隐藏"
soften,"v. (使)变柔软, (使)变柔和"
spinster,"n. 未婚女人, 老处女"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
spouse,n. 配偶
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
stopper,"n. 阻止的人, 木塞, 制止器
vt. 用塞子塞住, 闭嘴"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
strap,"n. S型存水弯
[网络] 地排污；排污中心离墙；抗酒石酸酸性磷酸酶"
suburb,"n. 市郊住宅区, 郊区, 边缘"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
[电] 程序组"
sweetheart,"n. 心上人, 爱人
vi. 爱慕
vt. 向...求爱"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
[计] 接头"
televise,"v. 用电视播放, 播映"
tenancy,"n. 租用, 租赁
[经] 租赁, 租回"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
[计] 占据者"
threshold,"n. 门槛, 入口, 开端, 阈
[计] 阈; 阈值"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
[计] 平铺"
torch,"n. 火把, 启发之物
[化] 火炬"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
[计] 库存管理检查规则程序"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
underprivileged,"a. 贫困的, 下层社会的, 被剥夺了正当权利的, 权益较他人为少的
[法] 被剥夺基本社会权利的, 穷的"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
[计] 解出锁定"
unplug,"vt. 拔开...的塞子, 拔去...的插头, 除掉...的障碍物"
untie,"vt. 解开
vi. 松开"
upbringing,n. 抚育，养育；教养；培养
uptown,到城里；[美国英语]到(或在)城里住宅区
urban,"a. 都市的, 住在都市的, 习惯于都市的
[法] 城市的, 都市的, 市区的"
utensil,"n. 器皿, 用具"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
villa,n. 别墅
wardrobe,"n. 衣橱, 衣室, 全部衣服"
washing,"n. 洗涤, 浸, 洗涤物
[机] 涂浆, 洗涤"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
wealthy,"a. 富有的, 丰裕的, 充分的"
wed,"v. 结婚；娶；嫁
short. we had；we would
[网络] 星期三(Wednesday)；周三；与…结婚"
well-being,"n. 健康, 幸福, 福利, 舒适, 安宁"
well-to-do,"na. 经济宽裕
[网络] 富裕的；小康的"
windmill,"[经] 停业, 结束营业"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
[医] 羊毛, 绒毛, 棉[花]"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
zipper,n. 拉链
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
absorbed,"a. 全神贯注的, 一心一意的
[机] 被吸收的"
affordable,[计] 普及型
amateur,"n. 业余爱好者, 外行, 爱好者
[电] 业余家"
amuse,"v. 逗乐；逗笑；（提供）消遣；（使）娱乐
[网络] 使愉快"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
[计] 数组; 阵列"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
available,"a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的"
availability,"n. 有效性, 可利用性, 可利用的人
[计] 有效性; 可用性"
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性
n. (Bland)人名；(英)布兰德"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
[计] 打回"
cast,"vt. 投，抛；计算；浇铸；投射（光、影、视线等）
n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来
n. (Cast)人名；(法)卡斯特"
cater,"v. 提供饮食及服务, 投合, 迎合"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumer,"n. 消费者
[经] 消费者, 用户"
consumerism,n. 保护消费者利益运动
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片
n. (Crisp)人名；(英)克里斯普"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
devour,"vt. 吞食, 挥霍, 吞没"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
[计] 摘要"
digestive,"a. 消化的, 助消化的
n. 助消化药"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
[计] 显示器; 显示"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
easily,"adv. 容易地, 轻易地, 流利地"
edible,"n. 食品, 食物
a. 可食用的"
inedible,a. 不适于食用的
enormous,"a. 巨大的, 庞大的"
enormously,"adv. 非常地, 巨大地"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertaining,"a. 使人愉快的, 有趣的"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
exhibition,"n. 表现, 展览会, 展览品
[医] 投药, 展览, 展出"
expend,"vt. 花费, 消耗, 用光"
expense,"n. 费用, 代价, 开支, 损失
[经] 费用, 开支, 将支出转为费用"
fare,"vi. 经营；进展；遭遇；过活
n. 票价；费用；旅客；食物
n. (Fare)人名；(瑞典)法勒；(法、意)法尔"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
grimace,"n. 鬼脸, 怪相
vi. 扮鬼脸, 作怪相"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instantly,"adv. 立即地, 即刻地"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
leisurely,"a. 悠闲的, 从容的
adv. 从容地, 悠闲地"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
