Broadband phone,[网络] 宽带电话
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
swimming pool,n. 游泳池
gymnasium,"n. 健身房, 体育馆
[医] 体育馆, 健身室, 运动场"
rock,"n. 岩石；【乐】摇滚乐；【食】棒糖；〈非正式〉宝石(尤指钻石)
v. 摇动；震撼；使…摇晃；使…摇动
[网络] 使振动；兰州地下摇滚；洛克"
forest,"n. 森林, 林区
vt. 植树于"
guest,"n. 客人, 来宾, 旅客
[化] 客体"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
tyre,"n. 轮胎
vt. 装轮胎于"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
put on weight,体重增加
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
wonder,"n. 惊奇；奇迹；惊愕
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶
adj. 奇妙的；非凡的
n. (Wonder)人名；(英)旺德"
leave something to somebody,无
reservation,"n. 保留, 预定, 保留品, 保留地
[经] 预定, 预约, 权益保留"
use to,[网络] 应用领域；用途；习惯
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
pop music,abbr. popular music 流行音乐
be keen on,喜爱
be fond of,"喜爱, 爱好"
spider,"n. 蜘蛛, 设圈套者
[化] 星形轮"
doorbell,n. 门铃
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
[计] 用户问题及答案新闻组"
invite in,[网络] 请进入；邀请某人进入房间
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
[计] 答复"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）
n. (Wedding)人名；(德)韦丁"
home movie,"n. 家庭自制电影
[网络] 家庭电影"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
puma,"n. 美洲狮, 美洲狮毛皮"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
onto, （移动到）…上; 登上（公共交通工具）
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
[计] 背景墙"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
wildlife park,野生动物园
interview,"n. 面试；访谈；面谈；会谈
v. 面谈；访问；对（某人）进行面试（或面谈）；接受面试
[网络] 采访；去面试；我会采访了别人了"
knit,"v. 编织, 结合"
knitting needle,"na. 织针
[网络] 针织用针；棒针；毛衣针"
niece,"n. 侄女, 甥女"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
conversation,"n. 会话, 说话, 交谈
[法] 交谈, 社交, 性交"
sales assistant,[网络] 销售助理；业务助理；售货员
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
Chinese Knotting,无
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
[计] 本地的; 局部"
examiner,"n. 检查人, 审查人, 主考者
[化] 检验人; 验收员"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
[计] 错误"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
[计] 接收"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
[计] 基准"
insist,"v. 坚持, 坚决主张, 强调"
sculptor,n. 雕刻家
dollar,"n. 美元, 元(加、澳等国货币单位)
[经] 纯经济的, 美元, 元"
traditional,"a. 传统的, 惯例的
[经] 传统的, 惯例的"
in trouble,"处于不幸中, 在监禁中"
against,"prep. 反对, 对着, 倚靠"
while,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
[计] 输入, 回车"
data,"n. 数据；资料；材料；（存储在计算机中的）数据资料
[网络] 数据文档；产品处理的所有数据；数据录入文员"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
[计] 系统; 体制; 体系"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
[计] 筛选; 屏幕"
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
camp,[=cyclic adenosine monophosphate]环磷酸腺苷
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
decide,"v. 决定, 判决"
chain,"n. 链条；链子；锁链；一系列
v. 用锁链拴住（或束缚、固定）
[网络] 连锁；一连串；项圈"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
[计] 翻牌, 绘图"
hop,"n. 啤酒花；单足短距离跳跃；（动物或鸟的）齐足（或双足）短距离跳跃
v. 单脚跳行；齐足（或双足）跳行；突然快速去某处
[网络] 拯救小兔；单足跳；忽布"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
unfortunately,"adv. 恐怕, 不幸的是"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
[计] 投入, 投入点, 接入点, 分接点"
as,"prep. 作为；像；当作；如同
conj. 随着；正如；因为；由于
adv. 如同；（指事情以同样的方式发生）和…一样
n. “A”的复数；阿斯
[网络] 砷；动脉粥样硬化(atherosclerosis)；强直性脊柱炎(ankylosing spondylitis)"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
go out,"na. 出国；(火,灯)熄；辞职；下台
[网络] 熄灭；出去；外出"
tent,"n. 帐篷, 帷幕, 住处, 塞条, 塞子
vi. 住帐蓬, 宿营, 暂时居住
vt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入"
embarrassed,a. 尴尬的；窘迫的
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
body image,[医] 体像
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
[计] 要点"
appearance,"n. 出现, 露面, 外观, 外表, 出版
[计] 外观, 版面"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
dress up in,无
themselves,"pron. 他们自己, 她们自己, 它们自己"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
adult,"n. 成人；长成体
adj. 成年的；成熟的；理智的；成人的
[网络] 成人诵读困；成人雨衣"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
plastic surgery,n. 【医】整形外科
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
[计] 运算"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
[计] 信件"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
[计] 电刷"
comb,abbr. combination；combined；combining
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
burn,"v. 烧伤；燃烧；烫伤；烧着
n. 烧伤；烫伤；灼伤；烧（或烫、灼）的痕迹
[网络] 够丢人；燃烧的棕榈"
oven door,无
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
razor,"n. 剃刀
vt. 剃"
injure,"vt. 伤害, 损害, 使受冤屈
[医] 损伤"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
itself,[网络] 不是看它是否与真正本来
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
[计] 交叉, 十字标"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
ourselves,[网络] 诸多自我；内反思我们的诸多自我
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴"
yourselves,pron. 你们自己；你们本人（yourself的复数）
advice,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议"
begin,"v. 开始
[计] 开始"
bride,n. 新娘
groom,"v. 培养；（给动物）擦洗；（给自己或其他动物）理毛；使做好准备
n. 马夫；马倌；马匹饲养员
[网络] 新郎；培训；格鲁姆"
differently,"adv. 差异, 不同, 各别, 各种"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式"
according to,"na. 据…所说
[网络] 按照；根据；依照"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
foreigner,"n. 外国人, 外地人
[法] 外国人, 进口货, 外国货"
typical,"a. 典型的, 象征性的
[医] 典型的"
wedding ceremony,n. 结婚典礼; 婚礼
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
[计] 实用程序, 映射, 制造自动化协议"
tourist sight,无
technician,"n. 技师
[化] 技师"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
[机] 外来的"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
translator,"n. 翻译者
[计] 翻译程序; 翻译器"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
[计] 转换"
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
album,"n. 粘贴簿, 唱片套
[医] 白色物"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
[计] 正负号; 符号; 符号字符"
suppose,"vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想
conj. 假使…结果会怎样"
to tell you the truth,"实话跟你说吧,说实在话,老实说"
latest,a. 最近的
collect,abbr. collection 收藏; 征收; collective 集体的; collectively 全体的
remind,"vt. 提醒, 使想起"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
[经] 有价值的, 可估价的, 贵重的"
monkey business,胡闹
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
banana,n. 香蕉
on sale,"na. 出售的；上市的；待售(的)；廉价出售(的)
[网络] 大减价；拍卖"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
gambler,"n. 赌博者, 赌徒
[法] 赌徒, 投机商人"
gardener,"n. 园丁, 花匠, 园艺家"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
as usual,a. 照常
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
look after,"目送, 照顾, 关心"
sparkling,"a. 闪闪发光的, 闪烁的, 闪烁着才华的"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
[计] 进位; 进位数"
billion,"num. 十亿, 十亿个"
garbage,"n. 垃圾桶；废物；垃圾箱；废话
[网络] 垃圾袋；残羹剩菜使我掩鼻；平口袋"
make sense,有意义
madam,"n. 女士, 夫人"
tap water,"n. 自来水
[网络] 自来水元件；自来水样；饮用水"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
waiter,[地名] 韦特河 ( 澳 )
ashamed,"a. 惭愧的, 羞耻的"
eat out,n. 在外用膳，下馆子(常到饭店吃饭的习惯) [亦作eating-out]
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
convenient,"a. 方便的, 合宜的
[法] 适当的, 合理而可行的, 方便的"
definite,"a. 明确的, 一定的
[法] 明确的, 确切的, 一定的"
customer,"n. 消费者
[化] 顾客"
waitress,"n. 女侍者, 女服务员"
yoga,n. 瑜珈
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
guitar,n. 吉他
