spaceship,"[法] 太空船, 航天飞船"
go,"G.O.
abbr.
general office 总公司,总局,总办事处,总社
general order [亦作 g. o.]
Go
= general obligation bond
go1
[ɡəu]
vi.
前进；行走；去；驶：
(从某地)离去，出发，离开：
(如机器等)运转，运行；操作；行动，进行；起作用；(心脏)跳动：
采取(特定的)行动：
处于；成为；变得；变成(某种特定状态)：
(消息等)被流传，传播；(货币等)流通，通用，通行：
通(向)，延伸至；到达；通到：
(时间)过去，消逝；被用完：
做特定的动作：
(使自己)遭受，招惹：
被出售，被卖掉(常与at， for连用)：
(钱等)被用于，让与，分配给(某一特定的领受者或目的)(常与for， in， on， to连用)：
(奖品、职位、财产等)被给(予)，属(于)，归(于)(to)：
有助(于)，趋向(于)，倾向(于)：
结果，结局；结果是：
(事情)发展，进行，进展：
(经常)被放置；归属：
(式样、色彩等)相配；相称；和谐：
发出某种声音：
[用于as引导的从句](就某方面)说，一般说来，从一般情况来看：
用完，用光；消耗；耗尽；衰退，减弱：
垮掉；损坏；陷下，塌下；折断；被丧失：
死去，失去知觉：
(音乐)有某种调子；(谚语等)用某种措辞表达；(被)创作；(被)写作：
装得下，装得进；塞得进；可通过：
诉诸，求助于：
开始，开动：
持续：
被放弃，被废弃；被去掉；被辞退(常与can， have， to， must 连用)：
(话语等)有权威性，可相信的；(话)是决定性的：
被接受；被准许；被信以为真；有效：
(在言行等方面)达到特定程度：
总共，构成，合成：
【数学】(除)得整数商，纳入(与into连用)：
将要，打算，预定[用进行时态，后接不定式]：
决意[用作不定式，强调感情冲动、迅速果断或拼死之意]：
下沉：
[口语]兴奋地表演；以特别鼓舞人心的方式表演：
[美国方言]想[常用于否定句，后接不定式]：
[俚语]撒尿，拉屎
[古语]离开法庭
vt.
赌，(用钱或物)打赌，以…打赌，同…打赌，押(赌注)：
循…而行，通行于，沿…进行：
[美国口语]忍耐，忍受；容忍，宽恕[通常用于否定句]：
[口语]为…作保释人，为(被捕人)提供(保释金)；承担…的责任：
[口语]出(价)，愿付(一定数额的款)；出(牌等)：
[美国口语]欣赏，鉴赏；分享，享用，享受，品尝：
对付：
[主美国口语]重量为；成长到(某种程度)：
走过，穿过：
[口语]说，说道[通常用现在时叙述过去说的话]
【棒球】在(全场比赛的特定局次)中投球
n.
去；离开；进行
成功，胜利；成功的事，进行顺利
[口语]精神，精力；活力，劲头，干劲；频繁紧张的活动
[口语]事件，意外的事态
[美国口语]协议；约定；交易
[口语]试一下，尝试，试图；努力，尽力
[英国口语]一次提供(或取得)的量；一杯(酒)；一份(食物)
[口语]一口气，一下子，一举
[口语]轮到的机会
[英国口语](剑桥大学学士)学位考试
(疾病的)发作
允许，许可；批准
比赛；拳击比赛
[the go][口语]时兴东西，时髦东西
【牌戏】宕(指未能完成定约)；吊牌
adj.
[美国口语]完全准备(或预备)好的；处于(可发射、使用等)良好状态的
[美国口语]运行正常的，功能精确的
时髦的，合潮流的
[俚语]好的，行的，对的
interj.
(赛跑时的起跑口令)跑：
(赛跑时的起跑口令)跑：
近义词:
depart
. leave
. quit
. retire
. withdraw
反义词:
arrive
. come
短语:
a capital go
[口语]太好了，妙极了
all (或quite) go
[口语]最流行的，非常时髦的
a near go
[口语]极侥幸的逃跑
a pretty (或 quite, run) go
[口语]难题，难办的事；怪事；尴尬的事
as (或 so) far as…goes
就…来说
as (或 so) far as it (或 that) goes
就目前情况而言，就其本身而言
as…go
就…而论，从…的通常情况而论
as people (或 things) go
就一般情况而言，从一般情况来看
at one go
一下子，一举
be going strong
见 strong
be going to
计划(或打算、决定)(做某事)
即将(发生某事)
可能会(发生某事)
be on the go
[口语]在活动，在活跃
[口语]准备离开；正在离开
[俚语]有醉意
[废语]衰弱；濒于死亡
call it a go
一言为定
could go
[口语]真想吃(或喝)
enough (或 something) to go on with
见 enough
fair go
公平的比赛；公平对待；机会均等
first go
[口语]第一次尝试；一下子，一口气
first go off
[口语]最初，一开始 [亦作 at first go off]
from the word go
[美国口语]始终，从一开始；完全，彻底
full of go
[口语]精力充沛，劲头十足
get someone going
[美国俚语]使某人激动(或发怒)
get up and go
果断迅速地行动
go all out
[口语]全力以赴，鼓足干劲
go aloft
死，去世
go along for the ride
凑凑热闹，逢场作戏
Go along with you!
[口语]去你的!别瞎说!(表示怀疑、不相信)
go (and) chase oneself
[美国俚语]别捣乱，走开
go and (do something)
[口语]竟然愚蠢到(去干某事)；竟然粗心到… (表示惊讶、厌烦、不赞许等)
go around together
情侣的定期约会
go astray
迷路，走失；误入歧途，堕落
放错地方
go at it hammer and tongs
全力以赴地干，精神抖擞地工作
激烈殴斗，全力进攻
go badly
(工作、事情等)进展不顺利
go bananas
失常，不正常
go bang
发出嘣地一声
go begging (或 a-begging)
见 beg
go behind someone's back
背后行事，暗中行事
go below (decks)
【航海学】到舱内去
go beyond one's duty
(出于负责、勇气、决心或多管闲事而)逾越职责
go broke
[口语]破产
go bung
[澳大利亚、新西兰俚语]
失败，完蛋
死
go bust
[俚语]
失败，完蛋
破产
go cahoots
见 cahoots
go counter to
与…背道而驰；违反…
go downhill
(经济、健康等)恶化；(道德)日益败坏
走下坡路
go down swinging
体面地失败
go down the drain
每况愈下
go down the line
[俚语]被解雇
go drink from the sea
滚开，别管闲事
go dry
见 dry
go easy
[口语]慢慢来；从容不迫
go easy on someone
待人善良，对人温厚
go easy with (或 on)
[口语]
小心处置…；对…进行从宽处理
爱惜…；节约…
go farther (或 further) and fare worse
每况愈下
go fifty-fifty
[美国英语]平分，均摊，一半一半
go flat out
= go all out
go flop
[俚语]垮台，遭到失败
go for a Burton
见 Burton
go for a song
非常便宜
go for broke
全力以赴
go for it
冒一下险，大胆试一试
go full tour
[俚语]回家
go fut (或 phut)
(机器等)故障，不能运转；(机构)垮台；崩溃
(计划等)落空，告吹
go glimmering
见 glimmering
go halves (on或in something with someone)
见half
go hang
[口语]随它去，听之任之
go hard with someone
使某人遭受困难(或痛苦、不幸、危险等)
go hence
[诗歌用语]
离开，出去
死
go home
回家，回国
击中要害；打中目标
[委婉语]死去，“回老家”[亦作 go to one's last (或 long) home]
用坏；穿破
腐败
深入；使获得深刻印象
go home in a box
[俚语、委婉语]死
go home to
使受感动；打动(某人)的心
使…理解(或领会)；使…有深刻印象
go ill
不妙；不祥
go ill with someone
对某人不利；对某人而言是不祥的
go in and out
进进出出
忽明忽暗
go in at
[口语]痛打，猛烈攻击
go in circles
(毫无成效地)兜圈子
go into particulars
见particular
go into the red
出现赤字
go into the whys and wherefores
见 why
go it
[口语]
着手；进行一些活动
飞速行进；使出猛劲干
(在比赛中)加油，作进一步努力[常用作祈使句]
挥霍；过放荡生活
go it alone
[口语]单独行动；独自生活
go it blind
鲁莽行事；碰运气
go it strong
见 strong
go it strong on
见 strong
go it with a rush
见 rush
go, man go
[美国口语]干得好，太妙了
go near to do (或 doing) something
几乎要做某事
go off at half-cock (或 half cock)
枪走火
[口语]没准备好就干，仓促行事[亦作 go of half-cock]
go one better
出价超过对手
超过以前的成绩；更胜一筹
[美国英语]胜过某人[见 better¹]
go out of one's mind
见mind
go over big
[美国口语](演出等)大受欢迎；非常成功；(演员)走红[亦作 go big]
go over-board
【航海学】从船上跌落；被扔到船外
go phut
= go fut
go pit-a-pat
(心)怦怦地跳；劈劈啪啪地跑
go public
(封闭式公司)让股票上市公开发售
go scot free (或 scot-free)
安然逃脱；逍遥法外
go seesaw
忽前忽后，忽上忽下；交替进行
go slow
(车辆)慢行；慢慢走
慢点来：留神(叫听话人对问题思考一下)
减少活动
[英国英语]怠工(以表示抗议)
go smash into
冲进，撞入
go snap
突然裂开；啪地一声断裂了
go soak yourself (或 your head)
[口语]走开，别来打扰我
go so far as (to do)
甚至(做出某事)；竟然到(做出)…的地步
go solid for
见 solid
go some
[美国口语]
收获很大；很有成就；做了不少
(工作、事情等)有效地(或顺利地、迅速地)进行
go (someone) one better
[口语]
胜过(某人)；(比某人)略胜一筹
(玩纸牌时)增加赌注
go somewhere
[口语] 出去一下(上厕所的委婉语)
go south(with something)
[俚语]卷逃；(偷窃某物后)失踪
go steady (with)
[美国口语](与某人)谈恋爱；(与异性朋友)经常外出约会
go straight
径直走
重新做人，改过自新
go swimmingly
进行顺利
go the way of all flesh (或 of all the earth)
见way
go the way of nature
见 way
go the whole coon
见coon
go the whole hog
见 hog
Go to!
[古语]
别说了!去你的!我不信!(表示不相信、不赞同)
快!开始吧!
go (to) bye-bye
上床睡觉
go too far
走得太远；做得太过分
go to pot
见pot
go to rest
见rest
go (to) smash
[口语]
垮台，完蛋；解体
破产
go well
(工作、事情、计划等)进行顺利
go without saying
[口语]不言而喻，不必说
go wrong
走错路
失足；堕落
失败，不如意
(食品、产品等)腐败；变质
(机器等)发生故障
搞错，弄错
going on
[口语]接近，快到
gone on someone
[口语]倾心于某人
have a go (at)
[口语]
尝试(某事)；试做(某事)
攻击(某人)；责骂(某人)
have been and gone and done it
[口语]竟然干出了这种蠢事(表示惊讶、恼火)
have something going for one
[美国俚语]有本钱，有条件(尤指有才能、美貌、人事关系等)
Here goes!
[口语]瞧，开始了，看我的!(说话者开始做冒险举动或游戏时说的话) Here we go again.[口语]同样不愉快的事情又发生了。
How goes it? (或 How is it going? How are things going?)
[口语]你好吗?近况如何?
It (或 That) goes without saying.
不言而喻；显而易见。
It's a go!
[口语]行!就这么办!
leave (或 let) go (of)
松手；放手
let go
放开，松手；让…走，释放
不理会；忽略
开枪，发射
听任；随它去吧 [亦作
Let it go]
【航海学】解开(缆绳等)
开除；解雇
let it go at that
[美国口语]谈论到此为止；就这样吧
let oneself go
[口语]放松；放纵；尽情发泄自己的感情(或欲望等)
let things go hang
见 thing [亦作 let things slide]
make a go of it
使取得成功；使获得圆满结果
make something go round
使够分配；使够一段时间使用
near go
[口语]九死一生；差点送命
no go
[口语]无用，无价值；不行，不可能
on the go
[口语]忙碌，忙个不停
[口语]衰弱，衰败
[俚语]醉
quite (或 all) the go
非常流行
sentry go
【军事】
换哨命令
步哨勤务
so far as it goes
= as far as it goes
That (或 It) goes without saying.
不言而喻；显而易见
the great go
[英国英语]剑桥大学文学士学位正式考试
the little go
[英国英语]剑桥大学学士学位初试；预考
There he (或 she, you) goes again.
他(或她，你)那一套又来了。
to go
[口语]
供外卖的(食物)
仍未完成，有待于完成的；剩下的
What goes?
[美国俚语]发生什么事了?
What has (或 is) gone of (或 with) someone?
[口语]某人怎么样了?某人出了什么事?
Where do we go from here (或 there)?
下一步该怎么办?下一步是什么?
Who goes there?
(哨兵喝问)谁?
You may go farther and fare worse.
[谚语]往前走，情形可能更坏。
变形：
n.
goes
vi.
went
. gone
. going
go2
[ɡəu]
n.
[日语](日本)古围棋 [亦作 Go， I-go]
go
n.
Papago的变形
Papago
[,pæpə'ɡəu]
n.
帕帕戈人(北美印第安部落)
帕帕戈人的乌托阿兹台克语
变形：
n.
Papagos
. go"
went,"v. 去，过去（go的过去式）
n. (Went)人名；(德、匈、荷)文特；(英)温特"
slowly,"adv. 慢慢地, 迟缓地"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
wanted,a. 被通缉的
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
[计] 遍"
passed,a. 已被传递的；已经通过的；已经过去的
eat,[网络] 艺术与科技实验中心；东莞中逸电子有限公司；永春站
ate,"v. eat(吃)的过去式
[网络] 自动测试设备(Automatic Test Equipment)；自动化测试设备(Automated Test Equipment)；吃的过去式"
quickly,adv. 很快地
another,"adj. 又一，另一；另外的；不同的
pron. 另一个；又一个
prep. 另一个；另一个人"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
looked,"v. 看, 瞧( look的过去式和过去分词 ); 注意; 面向; 寻找"
sick,"n. 病人；呕吐物
adj. 恶心；晕船；有病的；想呕吐
v. 攻击；追击；(纵狗)追击；〈美〉嗾使(狗等)去咬[去攻击]
[网络] 不舒服的；病了；德国施克"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
coughed,v. 咳嗽( cough的过去式和过去分词 ); （从喉咙或肺中）咳出; （突然）发出刺耳的噪音
everywhere,[网络] 到处；无所不在；别管距离多远
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
[计] 帮助, 帮助程序; DOS外部命令: DOS命令的电子文件帮助程序"
helped,v. 帮助（help的过去分词）
careful,adj. 仔细的，小心的
first,"adv. 第一；首先；优先；宁愿
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
num. 第一
n. (First)人名；(英)弗斯特；(捷)菲尔斯特"
second,"adv. 其次；第二（的）；（重要性、规模、质量等）居第二位的；另外的
n. 瞬间；片刻；秒（时间单位）；秒（角度单位）
v. 附议；临时调派
adj. 别的；次(的)；副(的)；从属的
[网络] 第二的；第二次；秒钟"
third,"num. 第三；三分之一(的)
ordnumber. 第三
n. 三分之一；三等学位（英国大学中低于平均水平的学位）
adv. 坐三等车(舱)
[网络] 第三名；第三的；第三次"
fourth,"adj. 第四的，第四个的；四分之一的
n. 第四，月的第四日；四分之一
num. 第四"
fifth,"adj. 第五的；五分之一的
n. 第五；五分之一
num. 第五"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
[计] 运行"
ran,"v. 跑（run的过去式）
n. (Ran)人名；(俄、瑞典、塞)拉恩；(柬)兰"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
[计] 竞争; 追赶; 欧州高级通信研究开发计划"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
win,"v. 赢；获得；（尤指通过自己的努力）取得
n. （在比赛、竞赛等中的）胜利
[网络] 获胜v；上链类玩具；打打下就"
won,win的过去式和过去分词
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
n. (Last)人名；(英、德、葡、罗、瑞典)拉斯特"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
sad,"abbr. 季节性情感障碍
[网络] 悲哀的；难过；悲伤"
decide,"v. 决定, 判决"
decided,"a. 确定的, 坚决的"
high,"adj. 高的；有某高度的；（离地面）很高的；海拔很高的
adv. 在高处；向高处；（成本、价值）高；（数量）大
n. 最高水平；最大数量；高气压区；反气旋
[网络] 高档礼盒；高压；高品质"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
sixth,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的"
seventh,"num. 第七, 七分之一"
eighth,"adj. 第八的；八分之一的
num. 第八；八分之一"
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
tenth,"num. 第十；十分之一
adj. 十分之一的；第十个的"
birthday,n. 生日，诞辰；诞生的日子
June,n. 六月
May,"n. 五月
aux. 愿能, 可以, 愿意"
September,n. 九月
November,n. 十一月
July,n. 七月
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
March,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
checked,"a. 有格子图案的, 闭音节的, 选中的
[计] 选中的"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的
n. (Autumn)人名；(英)奥特姆"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件"
called,a. 被呼叫的
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
[计] 对话类, 聊天"
talked,"n. 讲话, 交谈 talk的过去式
v. 说( talk的过去式和过去分词 ); 讨论; 说话; （用以强调款额、情况严重程度等）讲的是"
December,n. 十二月
summer,"n. 夏季；全盛时期
vi. 避暑；过夏天
adj. 夏季的
n. (Summer)人名；(德)祖默；(英)萨默"
October,n. 十月
January,n. 一月
February,n. 二月
April,n. 四月
August,"adj. 威严的；令人敬畏的
n. 八月（简写为Aug）
n. (August)人名；(法、葡、西、俄、罗、英、德、瑞典、挪)奥古斯特"
winter,"n. 冬季；年岁；萧条期
vi. 过冬
adj. 冬天的；越冬的
n. (Winter)人名；(英、德、匈、罗、捷、西、芬、瑞典、法)温特"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
height,"n. 高度, 海拔, 高地, 顶点
[化] 高度"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
[计] 粗细"
centimeter,"n. 厘米
[医] 厘米"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
kilogram,"n. 千克, 公斤
[医] 千克, 公斤"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
took,take的过去式
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
[计] 居中; 中央"
tall,[=thymus derived acute lymphocytic leukemia]胸腺衍生急性淋巴细胞性白血病
taller,a. 高的( tall的比较级 ); 难以置信的; 难以完成的; （用以表示或询问高度）有...高
tallest,a. 最高的
short,"adj. 短的；个子矮的；短期的；短暂的
adv. 缺少；不足；未达到；不及
v. 卖空(股票)；故意少给；欺骗；【电】使短路
n. 少量烈酒；（尤指在正片前放映的）电影短片"
shorter,a. 较短的；更短的；更矮的（short的比较级）
shortest,[计] 最短的
than,"conj. 比, 除...外
prep. 比"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
heavier,a. 巨大的；沉重的
heaviest,a. 最重的（heavy的最高级）
something,"pron. 某事；某物
n. 重要的人；值得重视的事
adv. 非常；有点；大约
adj. 大约；有点象"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
big,"adv. 大大；给人印象深地
n. 大亨；大公司
adj. 巨大的；年龄较大的；重大的；严重的
[网络] 恐怕袖子有点儿长；大型日式饭盒；飞越未来"
bigger,a. 更大的（big的比较级）
biggest,a. 最大的（big的最高级）
small,"adj. （尺寸、数量、程度等）小的；（服装、食品、家庭用品等）小号的
adv. 成为小块；小小地
n. 后腰；小件衣服（尤指内衣）"
smaller,"a. 较小, 更小的"
smallest,a. 最小的（small的最高级）
long,"n. 朗；(服装的)长尺寸；长裤；【语】长母音
adj. （长度或距离）长的；（询问或谈论长度或距离）长；长时间的；长久的
adv. 长期地；长久地；（在某一时间或事件之前或以后）很久地
v. （尤指对看似不会很快发生的事）渴望
[网络] 长整型；长整数；多头"
longer,"(long- 的比较级) n. 长时间；[语] 长音节
a. 长的；过长的；做多头的
vi. 渴望；热望
adv. 长期地；始终
n. (Long)人名；(英、法、德、瑞典)朗；(柬)隆"
longest,"n. 长时间；[语] 长音节
a. 长的；过长的；做多头的
vi. 渴望；热望
adv. 长期地；始终
n. (Long)人名；(英、法、德、瑞典)朗；(柬)隆
(long- 的最高级)"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
younger,"n. 年纪较小者
a. 较年轻的"
youngest,"n. 年纪最小的人, 最小的儿子/女儿
[计] 最近期的"
old,"n. 老年人；…岁的(人)；旧事物
adj. 老的；陈年的；…久的；年龄较长的
[网络] 旧的；年纪大了点；奥兹莫比尔"
older,a. 年长的；较旧的
oldest,a. 最旧的；最老的（old的最高级）
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
thinner,"n. 稀释剂
[化] 稀释剂"
thinnest,"a. 薄的, 瘦的"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
sun,"n. 太阳；日；太阳的光和热；阳光
v. 晒太阳
[网络] 阳光(sunshine)；孙；昇阳"
American,"n. 美国人；美洲人；美国英语；美洲印第安人
adj. 美洲的；美国的
[网络] 美式；美国人的；美式起司"
