eleven,"num. 十一, 十一个"
a bowl of noodles,无
a bar of chocolate,"na. 一块巧克力
[网络] 一条巧克力；一块巧克力糖；巧克力棒"
a packet of biscuits,无
a bottle of water,[网络] 一瓶水；一杯水；一樽水
hay,"n. 草料；少量的钱
v. 割晒(干草)；给…喂干草；使成割制干草的草地；制成干草
[网络] 海底捞月；亚洲"
grass,"n. 草；草地；牧草；青草
v. （向警方）告密
[网络] 草编家具"
corn,"n. （美）玉米；（英）谷物；[皮肤] 鸡眼
vt. 腌；使成颗粒
n. (Corn)人名；(英、法、瑞典)科恩"
meat,"n. 肉, 餐, 食物
[经] 肉类"
Don't litter.,无
Don't walk on the grass.,无
Don't pick flowers.,无
Don't throw stones.,无
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
rubbish,"n. 废物, 垃圾, 胡说"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
bin,"n. 垃圾箱；（有盖）大容器
v. 扔掉；丢弃
[网络] 豳；箱子；垃圾桶"
sketchbook,"n. 写生簿, 素描簿, 短文集, 随笔集"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
[计] 摄影"
aviary,"n. 大型鸟舍, 鸟类饲养场"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
[医] 泉"
pond,"n. 池塘
v. 筑成池塘"
far away,"a. 遥远的, 恍惚的, 出神的"
road,"n. 公路，马路；道路；手段
vt. （狗）沿臭迹追逐（猎物）
adj. （美）巡回的
n. (Road)人名；(英)罗德"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
rainy,"a. 下雨的, 多雨的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
[建] (混)浊的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
dry,"adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干
n. 干涸
n. (Dry)人名；(法)德里"
January,n. 一月
February,n. 二月
March,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
July,n. 七月
August,"adj. 威严的；令人敬畏的
n. 八月（简写为Aug）
n. (August)人名；(法、葡、西、俄、罗、英、德、瑞典、挪)奥古斯特"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
China,"n. 中国, 瓷器
a. 中国的"
Australia,"n. 澳洲, 澳大利亚"
always,"adv. 总是, 始终"
